datacoverage,elevation,elevationUnit,id,latitude,longitude,maxdate,mindate,name
0.8908,2.1,METERS,GHCND:BF1FP000001,26.5481,-78.7028,2019-06-22,2016-03-10,"FREEPORT LUCAYA 7.4 WNW, BF"
0.9143,5.8,METERS,GHCND:BF1NP000001,24.9975,-77.4499,2019-06-22,2016-03-08,"NASSAU 14.4 SW, BF"
0.6443,7.0,METERS,GHCND:BF1NP000003,25.0521,-77.4623,2019-06-22,2016-04-04,"NASSAU 12.8 WSW, BF"
0.7305,10.1,METERS,GHCND:BF1NP000007,25.037,-77.2849,2019-06-22,2016-06-01,"NASSAU 7.1 SE, BF"
0.8504,8.8,METERS,GHCND:BF1SS000005,23.9464,-74.5682,2019-06-22,2017-11-25,"COCKBURN TOWN 12.4 SSW, BF"
0.5899,7.0,METERS,GHCND:BF1SS000006,24.0864,-74.5283,2019-06-22,2017-12-14,"COCKBURN TOWN 3.8 N, BF"
0.9928,10.4,METERS,GHCND:BF1SS000007,24.105,-74.4524,2019-06-22,2017-12-15,"COCKBURN TOWN 9.7 NE, BF"
0.6237,686.7,METERS,GHCND:CA1AB000001,53.6069,-113.5619,2019-06-22,2014-07-04,"EDMONTON 9.1 NNW, CA"
0.6411,663.9,METERS,GHCND:CA1AB000002,53.5694,-113.4376,2019-06-22,2014-08-02,"EDMONTON 5.3 NE, CA"
0.7635,1120.4,METERS,GHCND:CA1AB000006,51.1737,-114.4692,2019-06-22,2015-05-14,"COCHRANE 2.1 SSE BRBC, CA"
0.1479,680.0,METERS,GHCND:CA1AB000014,55.197,-118.7644,2019-06-22,1998-06-17,"GRANDE PRAIRIE 3.5 NE, CA"
0.9542,1036.0,METERS,GHCND:CA1AB000015,50.5778,-113.8681,2019-06-22,2015-05-30,"HIGH RIVER 0.5 ESE BRBC, CA"
0.6413,1279.9,METERS,GHCND:CA1AB000023,51.2864,-114.8101,2019-06-22,2015-06-23,"BENCHLANDS TOP WEST 0.7 WNW, CA"
0.9227,759.9,METERS,GHCND:CA1AB000024,50.5638,-111.8985,2019-06-22,2015-06-23,"BROOKS 0.5 SSW BRBC, CA"
0.5848,1235.4,METERS,GHCND:CA1AB000025,51.0562,-114.1975,2019-06-22,2013-07-31,"CALGARY 9.9 W BRBC, CA"
0.9928,670.9,METERS,GHCND:CA1AB000031,53.5611,-111.8741,2019-06-22,2015-08-28,"LAVOY 11.4 N, CA"
0.9826,1205.5,METERS,GHCND:CA1AB000040,50.845,-114.3462,2019-06-22,2016-01-04,"PRIDDIS 4.7 SSW BRBC, CA"
