event_id,source_row_id,date,start,end,calendar_name,summary,part_summary,event_type,book_ref,calendar_analysis_duration_hours,wall_clock_duration_hours,include_in_first_pass_time,inclusion_rule,overlap_policy_duration_hours,overlap_policy_rule,overlap_other_events,overlap_other_calendars,overlap_restored_hours,title,finish_id,matched_finish_date,match_method
calendar_analysis_row_000002_part_0,calendar_analysis_row_000002,2021-05-24,2021-05-24 05:00:00+00:00,2021-05-24 05:30:00+00:00,Things,book,book,generic,,0.5,0.5,False,generic_temporal_read_not_counted_by_default,0.5,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000003_part_0,calendar_analysis_row_000003,2021-05-24,2021-05-24 06:00:00+00:00,2021-05-24 06:30:00+00:00,Things,book,book,generic,,0.5,0.5,False,generic_temporal_read_not_counted_by_default,0.5,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000033_part_0,calendar_analysis_row_000033,2021-05-26,2021-05-26 02:00:00+00:00,2021-05-26 02:15:00+00:00,Things,book,book,generic,,0.25,0.25,False,generic_temporal_read_not_counted_by_default,0.25,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000093_part_0,calendar_analysis_row_000093,2021-05-30,2021-05-30 05:15:00+00:00,2021-05-30 05:30:00+00:00,Things,book,book,generic,,0.25,0.25,False,generic_temporal_read_not_counted_by_default,0.25,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000110_part_0,calendar_analysis_row_000110,2021-05-31,2021-05-31 03:30:00+00:00,2021-05-31 04:00:00+00:00,Things,book,book,generic,,0.5,0.5,False,generic_temporal_read_not_counted_by_default,0.5,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000194_part_0,calendar_analysis_row_000194,2021-06-04,2021-06-04 07:15:00+00:00,2021-06-04 09:15:00+00:00,Things,read: kipling,read: kipling,reading,kipling,2.0,2.0,True,explicit_reading_or_audiobook_duration,2.0,calendar_analysis_duration,,,0.0,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000209_part_0,calendar_analysis_row_000209,2021-06-05,2021-06-05 06:00:00+00:00,2021-06-05 06:45:00+00:00,Things,read: Kipling,read: Kipling,reading,Kipling,0.75,0.75,True,explicit_reading_or_audiobook_duration,0.75,calendar_analysis_duration,,,0.0,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000233_part_0,calendar_analysis_row_000233,2021-06-06,2021-06-06 08:15:00+00:00,2021-06-06 09:30:00+00:00,Things,read: Kipling,read: Kipling,reading,Kipling,1.25,1.25,True,explicit_reading_or_audiobook_duration,1.25,calendar_analysis_duration,,,0.0,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000253_part_0,calendar_analysis_row_000253,2021-06-07,2021-06-07 07:00:00+00:00,2021-06-07 09:15:00+00:00,Things,read: Kipling,read: Kipling,reading,Kipling,2.25,2.25,True,explicit_reading_or_audiobook_duration,2.25,calendar_analysis_duration,,,0.0,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000276_part_0,calendar_analysis_row_000276,2021-06-09,2021-06-09 03:30:00+00:00,2021-06-09 04:30:00+00:00,Things,read: Kipling,read: Kipling,reading,Kipling,0.875,1.0,True,explicit_reading_or_audiobook_duration,1.0,full_duration_minor_overlap,dinner (fake; use takeout data from 7 | 13),"Meals, Supplements, Sleep",0.125,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000282_part_0,calendar_analysis_row_000282,2021-06-09,2021-06-09 11:00:00+00:00,2021-06-09 12:00:00+00:00,Things,read: Kipling,read: Kipling,reading,Kipling,1.0,1.0,True,explicit_reading_or_audiobook_duration,1.0,calendar_analysis_duration,,,0.0,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000324_part_0,calendar_analysis_row_000324,2021-06-12,2021-06-12 04:30:00+00:00,2021-06-12 05:30:00+00:00,Things,read: Kipling,read: Kipling,reading,Kipling,1.0,1.0,True,explicit_reading_or_audiobook_duration,1.0,calendar_analysis_duration,,,0.0,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000368_part_0,calendar_analysis_row_000368,2021-06-13,2021-06-13 23:30:00+00:00,2021-06-14 00:15:00+00:00,Things,read: Kipling,read: Kipling,reading,Kipling,0.75,0.75,True,explicit_reading_or_audiobook_duration,0.75,calendar_analysis_duration,,,0.0,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000370_part_0,calendar_analysis_row_000370,2021-06-14,2021-06-14 01:00:00+00:00,2021-06-14 01:30:00+00:00,Things,read: Kipling,read: Kipling,reading,Kipling,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000378_part_0,calendar_analysis_row_000378,2021-06-14,2021-06-14 06:15:00+00:00,2021-06-14 07:00:00+00:00,Things,read: Kipling,read: Kipling,reading,Kipling,0.75,0.75,True,explicit_reading_or_audiobook_duration,0.75,calendar_analysis_duration,,,0.0,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000402_part_0,calendar_analysis_row_000402,2021-06-16,2021-06-16 05:30:00+00:00,2021-06-16 06:45:00+00:00,Things,read: Kipling,read: Kipling,reading,Kipling,1.25,1.25,True,explicit_reading_or_audiobook_duration,1.25,calendar_analysis_duration,,,0.0,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000470_part_0,calendar_analysis_row_000470,2021-06-20,2021-06-20 05:00:00+00:00,2021-06-20 06:00:00+00:00,Things,read: Kipling,read: Kipling,reading,Kipling,1.0,1.0,True,explicit_reading_or_audiobook_duration,1.0,calendar_analysis_duration,,,0.0,Kipling by Harold bloom,finish_0115,2024-12-23,ref_to_finished_title
calendar_analysis_row_000471_part_0,calendar_analysis_row_000471,2021-06-20,2021-06-20 06:30:00+00:00,2021-06-20 07:30:00+00:00,Things,read: Conrad,read: Conrad,reading,Conrad,1.0,1.0,True,explicit_reading_or_audiobook_duration,1.0,calendar_analysis_duration,,,0.0,and call me conrad,finish_0172,2025-11-13,ref_to_finished_title
