finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish
finish_0001,The Inner game of tennis,2021-10-17,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,1,2021-10-17,2021-10-17,75.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0002,Open,2021-10-23,360.0,360.0,360.0,270.0,270.0,270.0,0.0,0.0,0.0,90.0,90.0,90.0,2,2021-10-22,2021-10-23,360.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0003,Notes from Underground,2021-12-01,210.0,210.0,210.0,135.0,135.0,135.0,0.0,0.0,0.0,75.0,75.0,75.0,5,2021-11-27,2021-12-01,210.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0004,jsgbp,2022-01-01,270.0,270.0,270.0,165.0,165.0,165.0,0.0,0.0,0.0,105.0,105.0,105.0,7,2021-12-28,2022-01-01,270.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0005,bobby-fischer-teaches-chess.pdf,2022-01-01,165.0,165.0,165.0,75.0,75.0,75.0,0.0,0.0,0.0,90.0,90.0,90.0,3,2021-12-21,2022-01-01,165.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0006,Supplying War,2022-01-03,390.0,390.0,390.0,360.0,360.0,360.0,0.0,0.0,0.0,30.0,30.0,30.0,8,2021-11-08,2022-01-03,390.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0007,Writing That Works: Third Edition,2022-01-06,225.0,225.0,225.0,135.0,135.0,135.0,0.0,0.0,0.0,90.0,90.0,90.0,5,2022-01-03,2022-01-06,225.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0008,Rainbows End,2022-01-06,480.0,480.0,480.0,270.0,270.0,270.0,0.0,0.0,0.0,210.0,210.0,210.0,6,2021-12-28,2022-01-06,480.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0009,ij,2022-01-10,255.0,255.0,255.0,105.0,105.0,105.0,0.0,0.0,0.0,150.0,150.0,150.0,4,2022-01-09,2022-01-10,255.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0010,kim,2022-01-17,420.0,420.0,420.0,120.0,120.0,120.0,0.0,0.0,0.0,300.0,300.0,300.0,3,2022-01-16,2022-01-17,420.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0011,Captain Courageous,2022-01-29,225.0,225.0,225.0,30.0,30.0,30.0,0.0,0.0,0.0,195.0,195.0,195.0,2,2022-01-29,2022-01-29,225.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0012,Dune,2022-02-16,724.9999999999999,754.9999999999999,724.9999999999999,425.0,455.0,425.0,0.0,0.0,0.0,300.0,300.0,300.0,3,2022-02-13,2022-02-16,724.9999999999999,calendar_analysis_duration_with_compatible_overlap_restored,30.0,0.0,1,False,,
finish_0013,Dune Messiah,2022-02-19,187.5,300.0,187.5,112.5,225.0,112.5,0.0,0.0,0.0,75.0,75.0,75.0,4,2022-02-18,2022-02-19,187.5,calendar_analysis_duration_with_compatible_overlap_restored,112.5,0.0,1,False,,
finish_0014,children of Dune,2022-02-22,547.5,555.0,555.0,322.5,330.0,330.0,0.0,0.0,0.0,225.0,225.0,225.0,7,2022-02-19,2022-02-22,555.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,
finish_0015,Huck Finn,2022-03-27,270.0,285.0,285.0,180.0,195.0,195.0,0.0,0.0,0.0,90.0,90.0,90.0,4,2022-03-15,2022-03-27,285.0,calendar_analysis_duration_with_compatible_overlap_restored,15.0,15.0,1,False,,
