date,summary,part_summary,event_type,book_ref,is_audiobook_time,title,matched_finish_date,calendar_analysis_minutes,wall_clock_minutes,wall_minus_calendar_minutes,overlap_total_minutes,overlap_longest_minutes,overlap_policy_minutes,policy_restored_minutes,overlap_policy_rule,overlap_other_events,overlap_other_calendars
2023-06-20,finished book: starship troopers,finished book: starship troopers,finished,starship troopers,False,starship troopers,2023-06-20,99.99999999999997,210.0,110.00000000000003,210.0,210.0,210.0,110.00000000000003,full_duration_overlap_gt_15m,Job: Hive | breakfast | lunch,"Meals, Supplements, Sleep | clark.benham@gmail.com"
2024-09-03,book:asftinda,book:asftinda,reading,asftinda,False,A Supposedly Fun Thing I'll Never Do Again,2024-09-04,90.0,180.0,90.0,180.0,180.0,180.0,90.0,full_duration_overlap_gt_15m,Train to Charlottesville VA,Things
2025-05-06,Audio book: moa,Audio book: moa,audiobook,moa,True,means of ascent,2025-05-07,150.0,240.0,90.0,180.0,60.0,240.0,90.0,full_duration_overlap_gt_15m,Walk | Laundry | Blogs | Walk | grocceires | walk | Cook,Things | Waste Time
2023-12-13,Book:ths,Book:ths,reading,ths,False,that hideous strength,2023-12-14,80.0,165.0,85.0,165.0,165.0,165.0,85.0,full_duration_overlap_gt_15m,Flight | Nap,"Meals, Supplements, Sleep | Things"
2023-04-13,book:tmc,book:tmc,reading,tmc,False,,,82.5,165.0,82.5,165.0,165.0,165.0,82.5,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2025-12-14,Audiobook: tgd,Audiobook: tgd,audiobook,tgd,True,the history of the English speaking peoples volume 4,2026-01-11,72.5,150.0,77.5,150.0,120.0,150.0,77.5,full_duration_overlap_gt_15m,Walk | gym | lunch,"Meals, Supplements, Sleep | Things"
2023-07-03,book:siasl,book:siasl,reading,siasl,False,Stranger in a Strange Land,2023-07-05,75.0,150.0,75.0,150.0,150.0,150.0,75.0,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2025-03-14,audio book: it's not luck,audio book: it's not luck,audiobook,it's not luck,True,,,75.0,150.0,75.0,150.0,150.0,150.0,75.0,full_duration_overlap_gt_15m,Drive home,Things
2026-04-07,book:cwwd,book:cwwd,reading,cwwd,False,Churchill: Walking with Destiny,2026-04-24,215.0,285.0,70.0,135.0,60.0,285.0,70.0,full_duration_overlap_gt_15m,book sim | 1 beer | Food | book sim,"Meals, Supplements, Sleep | Waste Time | clark.benham@gmail.com"
2026-01-05,Audiobook: twc,Audiobook: twc,audiobook,the world crisis volume 3,True,the world crisis volume 2,2026-01-04,67.5,135.0,67.5,135.0,135.0,135.0,67.5,full_duration_overlap_gt_15m,Walk,Things
2022-12-03,book:ptaesp,book:ptaesp,reading,ptaesp,False,ptaesp,2022-12-03,57.5,120.0,62.5,120.0,120.0,120.0,62.5,full_duration_overlap_gt_15m,Job: Hive | dinner,"Meals, Supplements, Sleep | clark.benham@gmail.com"
2022-02-18,book:dm,book:dm,reading,dm,False,Dune Messiah,2022-02-19,60.0,120.0,60.0,120.0,120.0,120.0,60.0,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2025-05-10,audiobook: master of the senate,audiobook: master of the senate,audiobook,master of the senate,True,master of the senate,2025-05-19,60.0,120.0,60.0,120.0,120.0,120.0,60.0,full_duration_overlap_gt_15m,walk,Things
2025-11-22,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,60.0,120.0,60.0,120.0,120.0,120.0,60.0,full_duration_overlap_gt_15m,Walk,Things
2026-01-13,Audiobook: nicbt,Audiobook: nicbt,audiobook,nicbt,True,Now It Can Be Told,2026-01-19,60.0,120.0,60.0,120.0,90.0,120.0,60.0,full_duration_overlap_gt_15m,Walk | Toil,Things
