event_id,source_row_id,date,start,end,calendar_name,summary,part_summary,event_type,book_ref,calendar_analysis_duration_hours,wall_clock_duration_hours,include_in_first_pass_time,inclusion_rule,overlap_policy_duration_hours,overlap_policy_rule,overlap_other_events,overlap_other_calendars,overlap_restored_hours,title,finish_id,matched_finish_date,match_method
calendar_analysis_row_000473_part_0,calendar_analysis_row_000473,2021-06-20,2021-06-20 08:45:00+00:00,2021-06-20 09:15:00+00:00,Things,read: Chekhov,read: Chekhov,reading,Chekhov,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000479_part_0,calendar_analysis_row_000479,2021-06-20,2021-06-20 19:30:00+00:00,2021-06-20 20:30:00+00:00,Things,read: chekhov,read: chekhov,reading,chekhov,1.0,1.0,True,explicit_reading_or_audiobook_duration,1.0,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000510_part_0,calendar_analysis_row_000510,2021-06-22,2021-06-22 08:00:00+00:00,2021-06-22 08:15:00+00:00,Things,read: Chekhov,read: Chekhov,reading,Chekhov,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000526_part_0,calendar_analysis_row_000526,2021-06-23,2021-06-23 08:15:00+00:00,2021-06-23 08:30:00+00:00,Things,read: Chekhov,read: Chekhov,reading,Chekhov,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000539_part_0,calendar_analysis_row_000539,2021-06-24,2021-06-24 05:30:00+00:00,2021-06-24 05:45:00+00:00,Things,read: Chekhov,read: Chekhov,reading,Chekhov,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000558_part_0,calendar_analysis_row_000558,2021-06-25,2021-06-25 07:45:00+00:00,2021-06-25 08:15:00+00:00,Things,read: Chekhov,read: Chekhov,reading,Chekhov,0.375,0.5,True,explicit_reading_or_audiobook_duration,0.5,full_duration_minor_overlap,blog,Things,0.125,,,,
calendar_analysis_row_000607_part_0,calendar_analysis_row_000607,2021-06-28,2021-06-28 06:00:00+00:00,2021-06-28 06:30:00+00:00,Things,read: Chekov,read: Chekov,reading,Chekov,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000617_part_0,calendar_analysis_row_000617,2021-06-29,2021-06-29 04:15:00+00:00,2021-06-29 05:00:00+00:00,Things,read: Chekhov,read: Chekhov,reading,Chekhov,0.3333333333333333,0.75,True,explicit_reading_or_audiobook_duration,0.3333333333333333,calendar_analysis_duration_incompatible_overlap,Job: Hive | dinner (fake; use takeout data from 7 | 13),"Meals, Supplements, Sleep | clark.benham@gmail.com",0.0,,,,
calendar_analysis_row_000620_part_0,calendar_analysis_row_000620,2021-06-29,2021-06-29 05:15:00+00:00,2021-06-29 05:45:00+00:00,Things,read: Chekhov,read: Chekhov,reading,Chekhov,0.25,0.5,True,explicit_reading_or_audiobook_duration,0.5,full_duration_minor_overlap,Job: Hive,clark.benham@gmail.com,0.25,,,,
calendar_analysis_row_000713_part_0,calendar_analysis_row_000713,2021-07-05,2021-07-05 01:45:00+00:00,2021-07-05 02:15:00+00:00,Things,read: Chekhov,read: Chekhov,reading,Chekhov,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000735_part_0,calendar_analysis_row_000735,2021-07-05,2021-07-05 21:15:00+00:00,2021-07-05 22:00:00+00:00,Things,read: Chekhov,read: Chekhov,reading,Chekhov,0.75,0.75,True,explicit_reading_or_audiobook_duration,0.75,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_000798_part_0,calendar_analysis_row_000798,2021-07-09,2021-07-09 09:15:00+00:00,2021-07-09 10:00:00+00:00,Things,read: Chekhov,read: Chekhov,reading,Chekhov,0.75,0.75,True,explicit_reading_or_audiobook_duration,0.75,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_001588_part_0,calendar_analysis_row_001588,2021-09-05,2021-09-05 04:15:00+00:00,2021-09-05 05:30:00+00:00,Things,read: Trading at the speed of light,read: Trading at the speed of light,reading,Trading at the speed of light,1.25,1.25,True,explicit_reading_or_audiobook_duration,1.25,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_001610_part_0,calendar_analysis_row_001610,2021-09-06,2021-09-06 09:30:00+00:00,2021-09-06 10:15:00+00:00,Things,read: Trading At the speed of Light,read: Trading At the speed of Light,reading,Trading At the speed of Light,0.75,0.75,True,explicit_reading_or_audiobook_duration,0.75,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_002385_part_0,calendar_analysis_row_002385,2021-11-07,2021-11-07 08:30:00+00:00,2021-11-07 12:00:00+00:00,Things,book:sk,book:sk,reading,sk,3.5,3.5,True,explicit_reading_or_audiobook_duration,3.5,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_002461_part_0,calendar_analysis_row_002461,2021-11-12,2021-11-12 09:30:00+00:00,2021-11-12 10:00:00+00:00,clark.benham@gmail.com,Book:DSWM,Book:DSWM,reading,DSWM,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_002903_part_0,calendar_analysis_row_002903,2021-12-14,2021-12-14 06:00:00+00:00,2021-12-14 06:45:00+00:00,Things,read: Probability Theory the Logic of Science,read: Probability Theory the Logic of Science,reading,Probability Theory the Logic of Science,0.75,0.75,True,explicit_reading_or_audiobook_duration,0.75,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_003028_part_0,calendar_analysis_row_003028,2021-12-22,2021-12-22 08:30:00+00:00,2021-12-22 09:00:00+00:00,Things,Book:Pbtl,Book:Pbtl,reading,Pbtl,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_003259_part_0,calendar_analysis_row_003259,2022-01-01,2022-01-01 08:30:00+00:00,2022-01-01 09:00:00+00:00,Things,Book:node,Book:node,reading,node,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,,,,
calendar_analysis_row_003261_part_0,calendar_analysis_row_003261,2022-01-01,2022-01-01 09:30:00+00:00,2022-01-01 10:00:00+00:00,Things,Book:node,Book:node,reading,node,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,,,,
