event_type,book_ref,events,first_date,last_date,wall_clock_minutes,calendar_analysis_minutes,classification,best_candidate_score,best_candidate_finish_date,best_candidate_title,best_candidate_ref,days_from_last_event_to_candidate_finish
reading,ml,23,2022-08-25,2023-05-10,895.0,887.5000000000001,no_finished_book_candidate_found,,,,,
reading,sp,35,2023-01-29,2026-02-18,845.0,837.5,no_finished_book_candidate_found,,,,,
reading,mlfp,30,2022-12-09,2023-09-20,795.0,795.0,no_finished_book_candidate_found,,,,,
reading,ladr,35,2023-09-21,2024-02-28,735.0,712.5,no_finished_book_candidate_found,,,,,
reading,Python,15,2022-10-03,2023-02-03,675.0,675.0,no_finished_book_candidate_found,,,,,
reading,sim,3,2025-05-03,2025-05-20,555.0,540.0,no_finished_book_candidate_found,,,,,
reading,bloj,8,2024-01-28,2024-05-17,420.0,420.0,no_finished_book_candidate_found,,,,,
reading,TLP,4,2023-04-02,2023-04-03,390.0,390.0,no_finished_book_candidate_found,,,,,
reading,coto,10,2025-09-06,2025-09-28,380.0,380.0,no_finished_book_candidate_found,,,,,
reading,litfw,9,2023-09-16,2024-04-07,360.0,360.0,no_finished_book_candidate_found,,,,,
reading,wthwos,7,2023-05-10,2025-02-08,360.0,360.0,no_finished_book_candidate_found,,,,,
reading,bn,12,2025-10-14,2026-01-20,315.0,315.0,no_finished_book_candidate_found,,,,,
reading,sbj,6,2023-10-27,2023-10-30,315.0,315.0,no_finished_book_candidate_found,,,,,
reading,Chekhov,10,2021-06-20,2021-07-09,300.0,252.49999999999997,no_finished_book_candidate_found,,,,,
reading,vaet,7,2026-02-15,2026-02-24,290.00000000000006,282.50000000000006,no_finished_book_candidate_found,,,,,
reading,prml,17,2022-08-01,2022-11-10,285.0,285.0,no_finished_book_candidate_found,,,,,
reading,gs,12,2025-09-25,2026-05-07,285.0,273.75,no_finished_book_candidate_found,,,,,
reading,dswn,5,2022-01-02,2022-01-05,285.0,232.5,no_finished_book_candidate_found,,,,,
reading,seag,6,2022-10-30,2023-01-29,255.0,255.0,no_finished_book_candidate_found,,,,,
reading,math,12,2024-01-18,2025-04-28,255.0,247.5,no_finished_book_candidate_found,,,,,
reading,Kipling,8,2025-03-24,2026-03-04,240.0,232.5,no_finished_book_candidate_found,,,,,
reading,emfhagaa,3,2025-08-17,2025-08-19,240.0,232.5,no_finished_book_candidate_found,,,,,
reading,Knudsen,3,2023-09-04,2023-09-14,225.0,217.5,no_finished_book_candidate_found,,,,,
reading,cpp,6,2022-10-30,2022-11-11,225.0,217.5,no_finished_book_candidate_found,,,,,
reading,python,10,2022-07-08,2023-02-04,225.0,225.0,no_finished_book_candidate_found,,,,,
audiobook,it's not luck,2,2025-03-14,2025-03-18,210.0,105.0,no_finished_book_candidate_found,,,,,
reading,sk,1,2021-11-07,2021-11-07,210.0,210.0,no_finished_book_candidate_found,,,,,
reading,ssojc,5,2025-02-04,2025-02-18,210.0,210.0,no_finished_book_candidate_found,,,,,
reading,tmi,8,2022-01-11,2022-07-22,195.0,195.0,no_finished_book_candidate_found,,,,,
reading,gc,4,2025-11-01,2025-11-04,195.0,180.0,no_finished_book_candidate_found,,,,,
reading,hss,3,2024-02-22,2024-02-25,180.0,180.0,no_finished_book_candidate_found,,,,,
reading,refactoring,7,2025-05-02,2025-05-23,172.5,165.0,no_finished_book_candidate_found,,,,,
reading,tmc,1,2023-04-13,2023-04-13,165.0,82.5,no_finished_book_candidate_found,,,,,
reading,bm,3,2024-08-13,2024-08-18,165.0,147.68333333333334,no_finished_book_candidate_found,,,,,
reading,sdi,7,2022-02-05,2022-07-26,165.0,165.0,no_finished_book_candidate_found,,,,,
reading,SDI,4,2022-02-09,2022-07-29,165.0,165.0,no_finished_book_candidate_found,,,,,
reading,debugging,5,2022-05-16,2022-05-21,150.0,142.5,no_finished_book_candidate_found,,,,,
reading,rlai,9,2023-02-27,2023-03-28,150.0,150.0,no_finished_book_candidate_found,,,,,
reading,jos,4,2022-11-08,2022-11-13,135.0,135.0,no_finished_book_candidate_found,,,,,
reading,tgb,6,2024-04-04,2024-05-17,135.0,135.0,no_finished_book_candidate_found,,,,,
reading,pc,6,2023-11-05,2025-04-20,135.0,127.5,no_finished_book_candidate_found,,,,,
reading,stats,2,2022-08-20,2025-04-01,135.0,135.0,no_finished_book_candidate_found,,,,,
reading,math: ladr,1,2023-11-01,2023-11-01,135.0,135.0,no_finished_book_candidate_found,,,,,
reading,labeling,1,2026-03-18,2026-03-18,120.0,120.0,no_finished_book_candidate_found,,,,,
reading,Memory,3,2022-03-24,2022-05-24,120.0,112.5,no_finished_book_candidate_found,,,,,
reading,journal,1,2023-08-15,2023-08-15,120.0,120.0,no_finished_book_candidate_found,,,,,
reading,tadm,1,2023-11-21,2023-11-21,120.0,120.0,no_finished_book_candidate_found,,,,,
reading,rust,3,2023-03-24,2023-06-22,120.0,120.0,no_finished_book_candidate_found,,,,,
reading,Tabs,1,2025-01-05,2025-01-05,120.0,120.0,no_finished_book_candidate_found,,,,,
reading,gd&t,2,2025-07-09,2025-07-14,120.0,120.0,no_finished_book_candidate_found,,,,,
reading,pp,3,2024-03-21,2024-08-21,120.0,120.0,no_finished_book_candidate_found,,,,,
reading,past highlights,2,2026-01-20,2026-01-21,105.0,105.0,no_finished_book_candidate_found,,,,,
audiobook,its not luck,1,2025-03-13,2025-03-13,105.0,52.5,no_finished_book_candidate_found,,,,,
reading,afrm,2,2023-04-15,2023-04-15,105.0,105.0,no_finished_book_candidate_found,,,,,
reading,ri,3,2025-02-14,2025-04-01,105.0,75.0,no_finished_book_candidate_found,,,,,
reading,tkt,1,2023-10-19,2023-10-19,105.0,105.0,no_finished_book_candidate_found,,,,,
reading,microservices,4,2025-01-08,2025-02-08,105.0,105.0,no_finished_book_candidate_found,,,,,
reading,eopp,1,2024-12-17,2024-12-17,90.0,82.5,no_finished_book_candidate_found,,,,,
reading,showstoppers,1,2025-05-12,2025-05-12,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,cp,5,2025-04-22,2025-05-10,90.0,82.5,no_finished_book_candidate_found,,,,,
reading,complex analysis,1,2023-11-12,2023-11-12,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,dmmt,3,2023-01-07,2023-01-10,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,thtaht,2,2024-10-31,2024-10-31,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,tw12q,2,2024-08-06,2024-08-07,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,pfda,3,2024-04-29,2024-05-16,90.0,90.0,no_finished_book_candidate_found,,,,,
audiobook,the age of revolution,1,2026-01-14,2026-01-14,90.0,45.0,no_finished_book_candidate_found,,,,,
reading,prompts,1,2024-01-25,2024-01-25,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,pteasp,2,2022-12-02,2022-12-02,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,pw,1,2025-03-24,2025-03-24,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,ba,2,2026-01-15,2026-01-16,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,Old screenshots,1,2025-12-20,2025-12-20,90.0,75.0,no_finished_book_candidate_found,,,,,
reading,kipling,2,2026-02-13,2026-02-13,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,tp,3,2025-02-10,2025-06-30,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,htkap,2,2024-12-22,2024-12-22,90.0,82.5,no_finished_book_candidate_found,,,,,
reading,hemmingway,2,2024-03-23,2024-03-23,90.0,90.0,no_finished_book_candidate_found,,,,,
reading,ing llm abilities,1,2025-07-23,2025-07-23,90.0,82.5,no_finished_book_candidate_found,,,,,
reading,pic,4,2025-10-28,2026-01-16,84.99999999999999,84.99999999999999,no_finished_book_candidate_found,,,,,
reading,ing stats,1,2025-03-31,2025-03-31,75.0,75.0,no_finished_book_candidate_found,,,,,
reading,ing,2,2024-04-24,2024-10-11,75.0,75.0,no_finished_book_candidate_found,,,,,
reading,emswyltbakoi,1,2022-12-12,2022-12-12,75.0,75.0,no_finished_book_candidate_found,,,,,
reading,reorg,2,2022-04-03,2022-04-03,75.0,75.0,no_finished_book_candidate_found,,,,,
reading,edad,3,2025-07-14,2025-07-20,75.0,75.0,no_finished_book_candidate_found,,,,,
reading,pf,2,2024-02-11,2024-02-19,75.0,75.0,no_finished_book_candidate_found,,,,,
audiobook,iaa,2,2026-05-14,2026-05-14,75.0,37.5,no_finished_book_candidate_found,,,,,
reading,docs,1,2025-04-18,2025-04-18,75.0,75.0,no_finished_book_candidate_found,,,,,
reading,Trading at the speed of light,1,2021-09-05,2021-09-05,75.0,75.0,no_finished_book_candidate_found,,,,,
reading,and org past tabs,1,2024-12-06,2024-12-06,75.0,75.0,no_finished_book_candidate_found,,,,,
reading,abbf,1,2023-05-16,2023-05-16,75.0,75.0,no_finished_book_candidate_found,,,,,
reading,se,1,2022-01-03,2022-01-03,70.0,70.0,no_finished_book_candidate_found,,,,,
reading,ae,2,2025-04-03,2025-08-19,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,htsym,3,2025-06-03,2025-06-06,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,httyd,1,2025-06-12,2025-06-12,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,advanced math,1,2024-11-12,2024-11-12,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,information,2,2024-09-20,2024-10-12,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,summary pipeline,1,2026-04-13,2026-04-13,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,tm,1,2024-04-09,2024-04-09,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,PG woodenhouse,1,2024-04-23,2024-04-23,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,vc,1,2025-12-05,2025-12-05,60.0,37.5,no_finished_book_candidate_found,,,,,
reading,math: calc3,1,2024-03-15,2024-03-15,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,memory,2,2022-05-02,2022-05-08,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,neuromancer,2,2024-04-07,2024-04-07,60.0,60.0,no_finished_book_candidate_found,,,,,
audiobook,sam walton made in america,1,2026-04-06,2026-04-06,60.0,30.0,no_finished_book_candidate_found,,,,,
reading,node,2,2022-01-01,2022-01-01,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,hollm,1,2025-06-04,2025-06-04,60.0,60.0,no_finished_book_candidate_found,,,,,
