finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_match_score,local_file_match_hint,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,metadata_page_count,metadata_word_estimate,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_wall_clock,wpm_first_pass_full_wall_clock,audiobook_primary_minutes,non_audio_primary_minutes,audiobook_share_of_primary_minutes,estimated_audio_words_at_350wpm,estimated_visual_words_after_audio_350wpm,wpm_visual_after_audio_350wpm,audio_dominant,wpm_reading_only_calendar,highlight_words_per_10k_words,finish_year,uses_local_file_word_count,usable_for_speed,usable_for_confident_speed,usable_for_duration_screened_speed,usable_for_visual_reading_speed,duration_screen_exclusion_reason
finish_0001,The Inner game of tennis,2021-10-17,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,1,2021-10-17,2021-10-17,75.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,45281.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/The Inner Game of Tennis_ The Classic Guide to the/The Inner Game of Tennis_ The Classic Guide to .pdf,90.0,The Inner game of tennis,45281.0,45281.0,0.0,pdf_repeated_header_footer_body_pages,,,,141.0,38775.0,,,,General Reading,0.0,0.0,0.0,603.7466666666667,603.7466666666667,603.7466666666667,0.0,75.0,0.0,0.0,45281.0,603.7466666666667,False,inf,0.0,2021,True,True,True,False,False,calendar_time_lte_90_minutes
finish_0002,Open,2021-10-23,360.0,360.0,360.0,270.0,270.0,270.0,0.0,0.0,0.0,90.0,90.0,90.0,2,2021-10-22,2021-10-23,360.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,164578.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Open_ An Autobiography-Andre Agassi -Vintage (2010/Open_ An Autobiography-Andre Agassi -Vintage (2.pdf,90.0,Open_ An Autobiography-Andre Agassi -Vintage (2010).pdf,164578.0,164578.0,0.0,pdf_repeated_header_footer_body_pages,,,,,,,,,,0.0,0.0,0.0,457.1611111111111,457.1611111111111,457.1611111111111,0.0,360.0,0.0,0.0,164578.0,457.1611111111111,False,609.5481481481481,0.0,2021,True,True,True,True,True,
finish_0003,Notes from Underground,2021-12-01,210.0,210.0,210.0,135.0,135.0,135.0,0.0,0.0,0.0,75.0,75.0,75.0,5,2021-11-27,2021-12-01,210.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,36300.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,,,,,132.0,36300.0,,,,Literature,0.0,0.0,0.0,172.85714285714286,172.85714285714286,172.85714285714286,0.0,210.0,0.0,0.0,36300.0,172.85714285714286,False,268.8888888888889,0.0,2021,False,False,False,False,False,
finish_0004,jsgbp,2022-01-01,270.0,270.0,270.0,165.0,165.0,165.0,0.0,0.0,0.0,105.0,105.0,105.0,7,2021-12-28,2022-01-01,270.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,,,low,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,270.0,0.0,0.0,,,False,,,2022,False,False,False,False,False,
finish_0005,bobby-fischer-teaches-chess.pdf,2022-01-01,165.0,165.0,165.0,75.0,75.0,75.0,0.0,0.0,0.0,90.0,90.0,90.0,3,2021-12-21,2022-01-01,165.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,91850.0,metadata_pages_x_words_per_page,medium,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/bobby-fischer-teaches-chess/bobby-fischer-teaches-chess.pdf,100.0,bobby-fischer-teaches-chess.pdf,0.0,0.0,0.0,pdf_raw_text_fallback,no_text_extracted,,,334.0,91850.0,,,,General Reading,0.0,0.0,0.0,556.6666666666666,556.6666666666666,556.6666666666666,0.0,165.0,0.0,0.0,91850.0,556.6666666666666,False,1224.6666666666667,0.0,2022,False,False,False,False,False,
finish_0006,Supplying War,2022-01-03,390.0,390.0,390.0,360.0,360.0,360.0,0.0,0.0,0.0,30.0,30.0,30.0,8,2021-11-08,2022-01-03,390.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,112130.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Supplying War_ Logistics from Wallenstein to Patto/Supplying War_ Logistics from Wallenstein to Pa.pdf,90.0,Supplying War,112130.0,116455.0,4325.0,pdf_repeated_header_footer_body_pages,,,,284.0,78100.0,,,,"Business, management",0.0,0.0,0.0,287.5128205128205,287.5128205128205,287.5128205128205,0.0,390.0,0.0,0.0,112130.0,287.5128205128205,False,311.47222222222223,0.0,2022,True,True,True,True,True,
finish_0007,Writing That Works: Third Edition,2022-01-06,225.0,225.0,225.0,135.0,135.0,135.0,0.0,0.0,0.0,90.0,90.0,90.0,5,2022-01-03,2022-01-06,225.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,44795.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Writing That Works_ Third Edition/Writing That Works_ Third Edition.epub,100.0,Writing That Works: Third Edition,44795.0,45497.0,702.0,epub_spine_body_sections,,,,152.0,41800.0,,,,"Business, management",0.0,0.0,0.0,199.0888888888889,199.0888888888889,199.0888888888889,0.0,225.0,0.0,0.0,44795.0,199.0888888888889,False,331.81481481481484,0.0,2022,True,True,True,True,True,
finish_0008,Rainbows End,2022-01-06,480.0,480.0,480.0,270.0,270.0,270.0,0.0,0.0,0.0,210.0,210.0,210.0,6,2021-12-28,2022-01-06,480.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,105600.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,,,,,384.0,105600.0,,,,fiction,0.0,0.0,0.0,220.0,220.0,220.0,0.0,480.0,0.0,0.0,105600.0,220.0,False,391.1111111111111,0.0,2022,False,False,False,False,False,
finish_0009,ij,2022-01-10,255.0,255.0,255.0,105.0,105.0,105.0,0.0,0.0,0.0,150.0,150.0,150.0,4,2022-01-09,2022-01-10,255.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,,,low,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,255.0,0.0,0.0,,,False,,,2022,False,False,False,False,False,
finish_0010,kim,2022-01-17,420.0,420.0,420.0,120.0,120.0,120.0,0.0,0.0,0.0,300.0,300.0,300.0,3,2022-01-16,2022-01-17,420.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,,,low,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,420.0,0.0,0.0,,,False,,,2022,False,False,False,False,False,
