finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_match_score,local_file_word_count,local_file_error,external_word_count,external_word_count_source,metadata_page_count,metadata_word_estimate,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_wall_clock,wpm_first_pass_full_wall_clock,audiobook_primary_minutes,non_audio_primary_minutes,audiobook_share_of_primary_minutes,estimated_audio_words_at_350wpm,estimated_visual_words_after_audio_350wpm,wpm_visual_after_audio_350wpm,audio_dominant,wpm_reading_only_calendar,highlight_words_per_10k_words,finish_year,usable_for_speed,usable_for_confident_speed,usable_for_duration_screened_speed,usable_for_visual_reading_speed,duration_screen_exclusion_reason
finish_0002,Open,2021-10-23,360.0,360.0,360.0,270.0,270.0,270.0,0.0,0.0,0.0,90.0,90.0,90.0,2,2021-10-22,2021-10-23,360.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,169047.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The Architecture of Open Source Applications 2.pdf,80.0,169047.0,,,,,,,0.0,0.0,0.0,469.575,469.575,469.575,0.0,360.0,0.0,0.0,169047.0,469.575,False,626.1,0.0,2021,True,True,True,True,
finish_0003,Notes from Underground,2021-12-01,210.0,210.0,210.0,135.0,135.0,135.0,0.0,0.0,0.0,75.0,75.0,75.0,5,2021-11-27,2021-12-01,210.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,36300.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,132.0,36300.0,Literature,0.0,0.0,0.0,172.85714285714286,172.85714285714286,172.85714285714286,0.0,210.0,0.0,0.0,36300.0,172.85714285714286,False,268.8888888888889,0.0,2021,True,False,True,True,
finish_0005,bobby-fischer-teaches-chess.pdf,2022-01-01,165.0,165.0,165.0,75.0,75.0,75.0,0.0,0.0,0.0,90.0,90.0,90.0,3,2021-12-21,2022-01-01,165.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,91850.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,334.0,91850.0,General Reading,0.0,0.0,0.0,556.6666666666666,556.6666666666666,556.6666666666666,0.0,165.0,0.0,0.0,91850.0,556.6666666666666,False,1224.6666666666667,0.0,2022,True,False,True,True,
finish_0006,Supplying War,2022-01-03,390.0,390.0,390.0,360.0,360.0,360.0,0.0,0.0,0.0,30.0,30.0,30.0,8,2021-11-08,2022-01-03,390.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,78100.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,284.0,78100.0,"Business, management",0.0,0.0,0.0,200.25641025641025,200.25641025641025,200.25641025641025,0.0,390.0,0.0,0.0,78100.0,200.25641025641025,False,216.94444444444446,0.0,2022,True,False,True,True,
finish_0007,Writing That Works: Third Edition,2022-01-06,225.0,225.0,225.0,135.0,135.0,135.0,0.0,0.0,0.0,90.0,90.0,90.0,5,2022-01-03,2022-01-06,225.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,45497.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/Writing That Works_ How to Communicate Effectively In Business-Kenneth Roman, Joel Raphaelson - Collins Reference (2000).epub",85.0,45497.0,,,,152.0,41800.0,"Business, management",0.0,0.0,0.0,202.20888888888888,202.20888888888888,202.20888888888888,0.0,225.0,0.0,0.0,45497.0,202.20888888888888,False,337.0148148148148,0.0,2022,True,True,True,True,
finish_0008,Rainbows End,2022-01-06,480.0,480.0,480.0,270.0,270.0,270.0,0.0,0.0,0.0,210.0,210.0,210.0,6,2021-12-28,2022-01-06,480.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,105600.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,384.0,105600.0,fiction,0.0,0.0,0.0,220.0,220.0,220.0,0.0,480.0,0.0,0.0,105600.0,220.0,False,391.1111111111111,0.0,2022,True,False,True,True,
finish_0010,kim,2022-01-17,420.0,420.0,420.0,120.0,120.0,120.0,0.0,0.0,0.0,300.0,300.0,300.0,3,2022-01-16,2022-01-17,420.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,37985.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/Kim Ji Young Born 1982 - Cho Nam-Joo.pdf,80.0,37985.0,,,,,,,0.0,0.0,0.0,90.44047619047619,90.44047619047619,90.44047619047619,0.0,420.0,0.0,0.0,37985.0,90.44047619047619,False,316.5416666666667,0.0,2022,True,True,True,True,
finish_0012,Dune,2022-02-16,724.9999999999999,754.9999999999999,724.9999999999999,425.0,455.0,425.0,0.0,0.0,0.0,300.0,300.0,300.0,3,2022-02-13,2022-02-16,724.9999999999999,calendar_analysis_duration_with_compatible_overlap_restored,30.0,0.0,1,False,,,77551.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/(Dune Chronicles volume 2) Frank Herbert - Dune Messiah-Ace Books (2008).epub,80.0,77551.0,,,,,,,0.0,0.0,0.0,106.96689655172416,102.71655629139075,102.71655629139075,0.0,724.9999999999999,0.0,0.0,77551.0,106.96689655172416,False,182.47294117647058,0.0,2022,True,True,True,True,
finish_0013,Dune Messiah,2022-02-19,187.5,300.0,187.5,112.5,225.0,112.5,0.0,0.0,0.0,75.0,75.0,75.0,4,2022-02-18,2022-02-19,187.5,calendar_analysis_duration_with_compatible_overlap_restored,112.5,0.0,1,False,,,77551.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/(Dune Chronicles volume 2) Frank Herbert - Dune Messiah-Ace Books (2008).epub,90.0,77551.0,,,,278.0,76450.0,fiction,0.0,0.0,0.0,413.6053333333333,258.50333333333333,258.50333333333333,0.0,187.5,0.0,0.0,77551.0,413.6053333333333,False,689.3422222222222,0.0,2022,True,True,True,True,
finish_0018,"Sadly, Porn",2022-04-23,1132.5,1155.0,1155.0,1087.5,1110.0,1110.0,0.0,0.0,0.0,45.0,45.0,45.0,12,2022-02-22,2022-04-23,1155.0,calendar_analysis_duration_with_compatible_overlap_restored,22.5,22.5,1,False,,,299625.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/Sadly, Porn (2021) - Edward Teach.epub",90.0,299625.0,,,,,,,0.0,0.0,0.0,259.4155844155844,259.4155844155844,259.4155844155844,0.0,1155.0,0.0,0.0,299625.0,259.4155844155844,False,275.51724137931035,0.0,2022,True,True,True,True,
