event_id,source_row_id,date,start,end,calendar_name,summary,part_summary,event_type,book_ref,is_audiobook_time,calendar_analysis_duration_hours,wall_clock_duration_hours,include_in_first_pass_time,inclusion_rule,overlap_policy_duration_hours,overlap_policy_rule,overlap_other_events,overlap_other_calendars,overlap_restored_hours,overlap_total_minutes,overlap_longest_minutes,title,finish_id,matched_finish_date,match_method
calendar_analysis_row_021656_part_0,calendar_analysis_row_021656,2024-08-19,2024-08-19 19:00:00+00:00,2024-08-19 19:30:00+00:00,Things,book:toboe,book:toboe,reading,toboe,False,0.375,0.5,True,explicit_reading_or_audiobook_duration,0.375,calendar_analysis_duration_overlap_lte_15m,Failed nap,"Meals, Supplements, Sleep",0.0,15.0,15.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_026434_part_0,calendar_analysis_row_026434,2025-02-11,2025-02-11 20:45:00+00:00,2025-02-11 21:30:00+00:00,Things,Book:toboe,Book:toboe,reading,toboe,False,0.75,0.75,True,explicit_reading_or_audiobook_duration,0.75,calendar_analysis_duration,,,0.0,0.0,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027165_part_0,calendar_analysis_row_027165,2025-03-06,2025-03-06 11:30:00+00:00,2025-03-06 12:00:00+00:00,Things,book:toboe,book:toboe,reading,toboe,False,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,0.0,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027240_part_0,calendar_analysis_row_027240,2025-03-08,2025-03-08 21:15:00+00:00,2025-03-08 21:30:00+00:00,Things,book:toboe,book:toboe,reading,toboe,False,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,0.0,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027415_part_0,calendar_analysis_row_027415,2025-03-14,2025-03-14 10:00:00+00:00,2025-03-14 10:15:00+00:00,Things,Book:toboe,Book:toboe,reading,toboe,False,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,0.0,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027491_part_0,calendar_analysis_row_027491,2025-03-17,2025-03-17 21:45:00+00:00,2025-03-17 22:15:00+00:00,Things,Book:toboe,Book:toboe,reading,toboe,False,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,0.0,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027493_part_0,calendar_analysis_row_027493,2025-03-17,2025-03-17 23:30:00+00:00,2025-03-18 00:00:00+00:00,Things,Book:toboe,Book:toboe,reading,toboe,False,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,0.0,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027657_part_0,calendar_analysis_row_027657,2025-03-22,2025-03-22 18:00:00+00:00,2025-03-22 18:15:00+00:00,Things,Book:toboe,Book:toboe,reading,toboe,False,0.125,0.25,True,explicit_reading_or_audiobook_duration,0.125,calendar_analysis_duration_overlap_lte_15m,Lie in sun,Things,0.0,15.0,15.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027660_part_0,calendar_analysis_row_027660,2025-03-22,2025-03-22 19:15:00+00:00,2025-03-22 20:45:00+00:00,Things,Finished book: the Oxford book of essays,Finished book: the Oxford book of essays,finished,the Oxford book of essays,False,0.75,1.5,True,explicit_finished_book_duration,1.5,full_duration_overlap_gt_15m,Lie in sun,Things,0.75,90.0,90.0,the Oxford book of essays,finish_0131,2025-03-22,finished_event_identity
calendar_analysis_row_030974_part_0,calendar_analysis_row_030974,2025-07-23,2025-07-23 21:45:00+00:00,2025-07-23 22:00:00+00:00,Things,book:aoa,book:aoa,reading,aoa,False,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,0.0,0.0,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031003_part_0,calendar_analysis_row_031003,2025-07-24,2025-07-24 22:15:00+00:00,2025-07-24 22:30:00+00:00,Things,Book:aoa,Book:aoa,reading,aoa,False,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,0.0,0.0,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031005_part_0,calendar_analysis_row_031005,2025-07-25,2025-07-25 00:30:00+00:00,2025-07-25 01:00:00+00:00,Things,book:aoa,book:aoa,reading,aoa,False,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,0.0,0.0,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031105_part_0,calendar_analysis_row_031105,2025-07-28,2025-07-28 22:15:00+00:00,2025-07-28 22:30:00+00:00,Things,book:aoa,book:aoa,reading,aoa,False,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,0.0,0.0,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031132_part_0,calendar_analysis_row_031132,2025-07-29,2025-07-29 19:15:00+00:00,2025-07-29 20:00:00+00:00,Things,book:aoa,book:aoa,reading,aoa,False,0.625,0.75,True,explicit_reading_or_audiobook_duration,0.625,calendar_analysis_duration_overlap_lte_15m,lunch,"Meals, Supplements, Sleep",0.0,15.0,15.0,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031151_part_0,calendar_analysis_row_031151,2025-07-30,2025-07-30 05:30:00+00:00,2025-07-30 06:00:00+00:00,Things,book:aoa,book:aoa,reading,aoa,False,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,0.0,0.0,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031227_part_0,calendar_analysis_row_031227,2025-08-02,2025-08-02 00:30:00+00:00,2025-08-02 01:30:00+00:00,Things,finished book: age of ambition,finished book: age of ambition,finished,age of ambition,False,0.5,1.0,True,explicit_finished_book_duration,1.0,full_duration_overlap_gt_15m,China trip,Things,0.5,60.0,60.0,age of ambition,finish_0155,2025-08-02,finished_event_identity
