finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_match_score,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,metadata_page_count,metadata_word_estimate,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_wall_clock,wpm_first_pass_full_wall_clock,audiobook_primary_minutes,non_audio_primary_minutes,audiobook_share_of_primary_minutes,estimated_audio_words_at_350wpm,estimated_visual_words_after_audio_350wpm,wpm_visual_after_audio_350wpm,audio_dominant,wpm_reading_only_calendar,highlight_words_per_10k_words,finish_year,uses_local_file_word_count,usable_for_speed,usable_for_confident_speed,usable_for_duration_screened_speed,usable_for_visual_reading_speed,duration_screen_exclusion_reason,estimated_pages_for_density,highlight_count_per_page,my_note_words_per_page
finish_0007,Writing That Works: Third Edition,2022-01-06,225.0,225.0,225.0,135.0,135.0,135.0,0.0,0.0,0.0,90.0,90.0,90.0,5,2022-01-03,2022-01-06,225.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,44795.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/Writing That Works_ How to Communicate Effectively In Business-Kenneth Roman, Joel Raphaelson - Collins Reference (2000).epub",85.0,44795.0,45497.0,702.0,epub_spine_body_sections,,,,152.0,41800.0,,,,"Business, management",0.0,0.0,0.0,199.0888888888889,199.0888888888889,199.0888888888889,0.0,225.0,0.0,0.0,44795.0,199.0888888888889,False,331.81481481481484,0.0,2022,True,True,True,True,True,,152.0,0.0,0.0
finish_0013,Dune Messiah,2022-02-19,187.5,300.0,300.0,112.5,225.0,225.0,0.0,0.0,0.0,75.0,75.0,75.0,4,2022-02-18,2022-02-19,300.0,calendar_analysis_duration_with_gt15m_overlap_restored,112.5,112.5,1,False,,,77540.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/(Dune Chronicles volume 2) Frank Herbert - Dune Messiah-Ace Books (2008).epub,90.0,77540.0,77551.0,11.0,epub_spine_body_sections,,64000.0,https://www.readinglength.com/book/BX9oRzY,278.0,76450.0,-13540.0,-0.1746195511993809,0.1746195511993809,fiction,0.0,0.0,0.0,258.46666666666664,258.46666666666664,258.46666666666664,0.0,300.0,0.0,0.0,77540.0,258.46666666666664,False,689.2444444444444,0.0,2022,True,True,True,True,True,,278.0,0.0,0.0
finish_0018,"Sadly, Porn",2022-04-23,1132.5,1155.0,1132.5,1087.5,1110.0,1087.5,0.0,0.0,0.0,45.0,45.0,45.0,12,2022-02-22,2022-04-23,1132.5,calendar_analysis_duration_with_gt15m_overlap_restored,22.5,0.0,1,False,,,299624.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/Sadly, Porn (2021) - Edward Teach.epub",90.0,299624.0,299625.0,1.0,epub_spine_body_sections,,,,,,,,,,0.0,0.0,0.0,264.56865342163354,259.4147186147186,259.4147186147186,0.0,1132.5,0.0,0.0,299624.0,264.56865342163354,False,275.51632183908043,0.0,2022,True,True,True,True,True,,1089.5418181818181,0.0,0.0
finish_0021,screwtape letters,2022-05-14,195.0,195.0,195.0,75.0,75.0,75.0,0.0,0.0,0.0,120.0,120.0,120.0,2,2022-05-13,2022-05-14,195.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,31129.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The Screwtape Letters-C. S. Lewis -#keep#.epub,90.0,31129.0,31324.0,195.0,epub_spine_body_sections,,40000.0,https://www.readinglength.com/work/WPCt7r2,160.0,44000.0,8871.0,0.2849754248449998,0.2849754248449998,Literature,6402.0,130.0,0.0,159.63589743589745,159.63589743589745,159.63589743589745,0.0,195.0,0.0,0.0,31129.0,159.63589743589745,False,415.05333333333334,2056.6031674644223,2022,True,True,True,True,True,,160.0,0.8125,0.0
finish_0050,screwtape letters,2023-05-03,120.0,120.0,120.0,90.0,90.0,90.0,0.0,0.0,0.0,30.0,30.0,30.0,4,2023-05-01,2023-05-03,120.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,2,True,2022-05-14,354.0,31129.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The Screwtape Letters-C. S. Lewis -#keep#.epub,90.0,31129.0,31324.0,195.0,epub_spine_body_sections,,40000.0,https://www.readinglength.com/work/WPCt7r2,160.0,44000.0,8871.0,0.2849754248449998,0.2849754248449998,Literature,6402.0,130.0,0.0,259.40833333333336,259.40833333333336,259.40833333333336,0.0,120.0,0.0,0.0,31129.0,259.40833333333336,False,345.8777777777778,2056.6031674644223,2023,True,False,False,False,False,,160.0,0.8125,0.0
finish_0052,starship troopers,2023-06-20,174.99999999999997,285.0,285.0,75.0,75.0,75.0,0.0,0.0,0.0,99.99999999999996,210.0,210.0,3,2023-06-12,2023-06-20,285.0,calendar_analysis_duration_with_gt15m_overlap_restored,110.00000000000004,110.00000000000004,1,False,,,86699.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/Starship Troopers Robert A. Heinlein - (1987).pdf,90.0,86699.0,86699.0,0.0,pdf_repeated_header_footer_body_pages,,52000.0,https://www.readinglength.com/book/BstO0A6,233.0,64075.0,-34699.0,-0.4002237626731565,0.4002237626731565,fiction,0.0,0.0,0.0,304.20701754385965,304.20701754385965,304.20701754385965,0.0,285.0,0.0,0.0,86699.0,304.20701754385965,False,1155.9866666666667,0.0,2023,True,True,True,True,True,,233.0,0.0,0.0
finish_0053,Stranger in a Strange Land,2023-07-05,592.5,675.0,667.5,442.5,525.0,517.5,0.0,0.0,0.0,150.0,150.0,150.0,10,2023-07-02,2023-07-05,667.5,calendar_analysis_duration_with_gt15m_overlap_restored,82.5,75.0,1,False,,,167906.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/Stranger in a strange land -Robert A. Heinlein - Ace Books (1961).pdf,90.0,167906.0,170584.0,2678.0,pdf_repeated_header_footer_body_pages,,109500.0,https://www.readinglength.com/book/BtRmrhy,438.0,120450.0,-58406.0,-0.3478493919216704,0.3478493919216704,fiction,2371.0,66.0,0.0,251.5445692883895,248.74962962962962,248.74962962962962,0.0,667.5,0.0,0.0,167906.0,251.5445692883895,False,379.44858757062144,141.20996271723465,2023,True,True,True,True,True,,438.0,0.1506849315068493,0.0
finish_0055,The Moon Is A Harsh Mistress,2023-07-26,435.0,435.0,435.0,330.0,330.0,330.0,0.0,0.0,0.0,105.0,105.0,105.0,4,2023-07-25,2023-07-26,435.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,120469.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The Moon Is a Harsh Mistress - Robert A. Heinlein - (1987).pdf,90.0,120469.0,120469.0,0.0,pdf_repeated_header_footer_body_pages,,95500.0,https://www.readinglength.com/book/BKfozRz,360.0,99000.0,-24969.0,-0.2072649395280113,0.2072649395280113,fiction,0.0,0.0,0.0,276.9402298850575,276.9402298850575,276.9402298850575,0.0,435.0,0.0,0.0,120469.0,276.9402298850575,False,365.05757575757576,0.0,2023,True,True,True,True,True,,360.0,0.0,0.0
finish_0057,Player of Games,2023-08-17,420.0,420.0,420.0,225.0,225.0,225.0,0.0,0.0,0.0,195.0,195.0,195.0,5,2023-08-14,2023-08-17,420.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,116409.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The Player of Games - Iain M. Banks - Orbit (2008).epub,90.0,116409.0,116433.0,24.0,epub_spine_body_sections,,,,320.0,88000.0,,,,fiction,1754.0,50.0,76.0,277.1642857142857,277.1642857142857,277.1642857142857,0.0,420.0,0.0,0.0,116409.0,277.1642857142857,False,517.3733333333333,150.67563504540027,2023,True,True,True,True,True,,320.0,0.15625,0.2375
finish_0063,out of the silent planet,2023-12-05,225.0,225.0,225.0,165.0,165.0,165.0,0.0,0.0,0.0,60.0,60.0,60.0,4,2023-11-30,2023-12-05,225.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,59431.0,local_file_word_count,high,data/Books/Out of the Silent Planet by CS Lewis.pdf,100.0,59431.0,60078.0,647.0,pdf_repeated_header_footer_body_pages,,57757.0,https://www.gutenberg.ca/ebooks/lewiscs-outofthesilentplanet/lewiscs-outofthesilentplanet-00-h.html,174.0,47850.0,-1674.0,-0.0281671181706516,0.0281671181706516,fiction,0.0,0.0,0.0,264.1377777777778,264.1377777777778,264.1377777777778,0.0,225.0,0.0,0.0,59431.0,264.1377777777778,False,360.1878787878788,0.0,2023,True,True,True,True,True,,174.0,0.0,0.0
