finish_id,title,matched_finish_date,first_pass_raw_minutes,first_pass_busy_adjusted_minutes,first_pass_adjusted_minutes,reading_raw_minutes,reading_busy_adjusted_minutes,reading_adjusted_minutes,audiobook_raw_minutes,audiobook_busy_adjusted_minutes,audiobook_adjusted_minutes,finished_raw_minutes,finished_busy_adjusted_minutes,finished_adjusted_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,busy_overlap_delta_minutes,strict_overlap_delta_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_error,metadata_page_count,metadata_word_estimate,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_raw,wpm_first_pass_busy_adjusted,wpm_first_pass_strict_adjusted,wpm_reading_only_raw,highlight_words_per_10k_words,finish_year,usable_for_speed,usable_for_confident_speed,usable_for_screened_speed,speed_screen_exclusion_reason
finish_0016,Class,2021-02-27,75.0,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021-02-26,2021-02-26,75.0,raw_calendar_duration_sum,0.0,0.0,1,False,,,55550.0,metadata_pages_x_words_per_page,medium,,,202.0,55550.0,General Reading,0,0,0,740.6666666666666,740.6666666666666,740.6666666666666,740.6666666666666,740.6666666666666,0.0,2021,True,False,False,calendar_time_under_90_minutes
finish_0019,EBSE,2021-04-16,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,1,2021-04-16,2021-04-16,30.0,raw_calendar_duration_sum,0.0,0.0,1,False,,,119075.0,metadata_pages_x_words_per_page,medium,,,433.0,119075.0,Computer Science,0,0,0,3969.1666666666665,3969.1666666666665,3969.1666666666665,3969.1666666666665,inf,0.0,2021,True,False,False,calendar_time_under_90_minutes
finish_0021,The Inner game of tennis,2021-10-17,75.0,67.5,67.5,0.0,0.0,0.0,0.0,0.0,0.0,75.0,67.5,67.5,1,2021-10-17,2021-10-17,75.0,raw_calendar_duration_sum,7.5,7.5,1,False,,,38775.0,metadata_pages_x_words_per_page,medium,,,141.0,38775.0,General Reading,0,0,0,517.0,517.0,574.4444444444445,574.4444444444445,inf,0.0,2021,True,False,False,calendar_time_under_90_minutes
finish_0025,Bobby Fisher teaches chess,2022-01-01,75.0,52.5,52.5,75.0,52.5,52.5,0.0,0.0,0.0,0.0,0.0,0.0,2,2021-12-21,2021-12-23,75.0,raw_calendar_duration_sum,22.5,22.5,1,False,,,91850.0,metadata_pages_x_words_per_page,medium,,,334.0,91850.0,General Reading,0,0,0,1224.6666666666667,1224.6666666666667,1749.5238095238096,1749.5238095238096,1224.6666666666667,0.0,2022,True,False,False,calendar_time_under_90_minutes
finish_0041,screwtape letters,2022-05-13,75.0,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022-05-12,2022-05-12,75.0,raw_calendar_duration_sum,0.0,0.0,1,False,,,44000.0,metadata_pages_x_words_per_page,medium,,,160.0,44000.0,Literature,6402,130,0,586.6666666666666,586.6666666666666,586.6666666666666,586.6666666666666,586.6666666666666,1455.0,2022,True,False,False,calendar_time_under_90_minutes
finish_0042,Arnold Schwarzenegger,2022-05-15,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022-05-15,2022-05-15,60.0,raw_calendar_duration_sum,0.0,0.0,1,False,,,70400.0,metadata_pages_x_words_per_page,medium,,,256.0,70400.0,General Reading,0,0,0,1173.3333333333333,1173.3333333333333,1173.3333333333333,1173.3333333333333,1173.3333333333333,0.0,2022,True,False,False,calendar_time_under_90_minutes
finish_0044,an experiment in criticism,2022-06-02,75.0,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022-05-31,2022-06-01,75.0,raw_calendar_duration_sum,0.0,0.0,1,False,,,36575.0,metadata_pages_x_words_per_page,medium,,,133.0,36575.0,Literature,0,0,0,487.6666666666667,487.6666666666667,487.6666666666667,487.6666666666667,487.6666666666667,0.0,2022,True,False,False,calendar_time_under_90_minutes
finish_0050,good research code,2022-09-09,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022-09-08,2022-09-08,30.0,raw_calendar_duration_sum,0.0,0.0,1,False,,,16500.0,metadata_pages_x_words_per_page,medium,,,60.0,16500.0,"Business, management",0,0,0,550.0,550.0,550.0,550.0,550.0,0.0,2022,True,False,False,calendar_time_under_90_minutes
finish_0054,The Art of Readable Code,2022-11-29,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022-11-15,2022-11-22,60.0,raw_calendar_duration_sum,0.0,0.0,1,False,,,56650.0,metadata_pages_x_words_per_page,medium,,,206.0,56650.0,Computer Science,1290,56,16,944.1666666666666,944.1666666666666,944.1666666666666,944.1666666666666,944.1666666666666,227.71403353927627,2022,True,False,False,calendar_time_under_90_minutes
finish_0093,tremendous trifles,2024-03-01,60.0,52.5,51.25,30.0,30.0,30.0,0.0,0.0,0.0,30.0,22.5,21.249999999999996,3,2024-01-31,2024-03-01,60.0,raw_calendar_duration_sum,7.5,8.75,1,False,,,39050.0,metadata_pages_x_words_per_page,medium,,,142.0,39050.0,Literature,0,0,0,650.8333333333334,650.8333333333334,743.8095238095239,761.9512195121952,1301.6666666666667,0.0,2024,True,False,False,calendar_time_under_90_minutes
