finish_id,title,matched_finish_date,first_pass_raw_minutes,first_pass_busy_adjusted_minutes,first_pass_adjusted_minutes,reading_raw_minutes,reading_busy_adjusted_minutes,reading_adjusted_minutes,audiobook_raw_minutes,audiobook_busy_adjusted_minutes,audiobook_adjusted_minutes,finished_raw_minutes,finished_busy_adjusted_minutes,finished_adjusted_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,busy_overlap_delta_minutes,strict_overlap_delta_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_error,metadata_page_count,metadata_word_estimate,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_raw,wpm_first_pass_busy_adjusted,wpm_first_pass_strict_adjusted,wpm_reading_only_raw,highlight_words_per_10k_words,finish_year,usable_for_speed,usable_for_confident_speed,usable_for_screened_speed,speed_screen_exclusion_reason
finish_0007,Star Maker,2020-11-23,135.0,97.5,97.5,30.0,30.0,30.0,0.0,0.0,0.0,105.0,67.5,67.5,2,2020-11-22,2020-11-23,135.0,raw_calendar_duration_sum,37.5,37.5,1,False,,,68750.0,metadata_pages_x_words_per_page,medium,,,250.0,68750.0,fiction,0,0,0,509.25925925925924,509.25925925925924,705.1282051282051,705.1282051282051,2291.6666666666665,0.0,2020,True,False,True,
finish_0023,Notes From Underground,2021-11-30,135.0,127.5,127.5,135.0,127.5,127.5,0.0,0.0,0.0,0.0,0.0,0.0,4,2021-11-27,2021-11-30,135.0,raw_calendar_duration_sum,7.5,7.5,1,False,,,36300.0,metadata_pages_x_words_per_page,medium,,,132.0,36300.0,Literature,0,0,0,268.8888888888889,268.8888888888889,284.70588235294116,284.70588235294116,268.8888888888889,0.0,2021,True,False,True,
finish_0026,Supplying War,2022-01-03,360.0,292.5,292.5,360.0,292.5,292.5,0.0,0.0,0.0,0.0,0.0,0.0,7,2021-11-08,2022-01-02,360.0,raw_calendar_duration_sum,67.5,67.5,1,False,,,78100.0,metadata_pages_x_words_per_page,medium,,,284.0,78100.0,"Business, management",0,0,0,216.94444444444446,216.94444444444446,267.008547008547,267.008547008547,216.94444444444446,0.0,2022,True,False,True,
finish_0027,Writing that works,2022-01-05,135.0,105.0,105.0,135.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022-01-03,2022-01-04,135.0,raw_calendar_duration_sum,30.0,30.0,1,False,,,41800.0,metadata_pages_x_words_per_page,medium,,,152.0,41800.0,"Business, management",0,0,0,309.6296296296296,309.6296296296296,398.0952380952381,398.0952380952381,309.6296296296296,0.0,2022,True,False,True,
finish_0028,Rainbows end,2022-01-05,270.0,221.25,221.25,270.0,221.25,221.25,0.0,0.0,0.0,0.0,0.0,0.0,5,2021-12-28,2021-12-30,270.0,raw_calendar_duration_sum,48.75,48.75,1,False,,,105600.0,metadata_pages_x_words_per_page,medium,,,384.0,105600.0,fiction,0,0,0,391.1111111111111,391.1111111111111,477.2881355932203,477.2881355932203,391.1111111111111,0.0,2022,True,False,True,
finish_0029,Inimitable Jeeves,2022-01-10,105.0,75.0,75.0,105.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022-01-08,2022-01-09,105.0,raw_calendar_duration_sum,30.0,30.0,1,False,,,61600.0,metadata_pages_x_words_per_page,medium,,,224.0,61600.0,Literature,0,0,0,586.6666666666666,586.6666666666666,821.3333333333334,821.3333333333334,586.6666666666666,0.0,2022,True,False,True,
finish_0033,Dune Messiah,2022-02-18,225.0,112.5,75.0,225.0,112.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022-02-18,2022-02-18,225.0,raw_calendar_duration_sum,112.5,150.0,1,False,,,76450.0,metadata_pages_x_words_per_page,medium,,,278.0,76450.0,fiction,0,0,0,339.77777777777777,339.77777777777777,679.5555555555555,1019.3333333333334,339.77777777777777,0.0,2022,True,False,True,
finish_0045,talent,2022-06-03,405.0,360.0,330.0,405.0,360.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2022-05-20,2022-06-02,405.0,raw_calendar_duration_sum,45.0,75.0,1,False,,,79200.0,metadata_pages_x_words_per_page,medium,,,288.0,79200.0,"Business, management",0,0,0,195.55555555555554,195.55555555555554,220.0,240.0,195.55555555555554,0.0,2022,True,False,True,
finish_0046,Coders at work,2022-06-04,555.0,532.5,530.0,555.0,532.5,530.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2022-01-12,2022-06-04,555.0,raw_calendar_duration_sum,22.5,25.0,1,False,,,169675.0,metadata_pages_x_words_per_page,medium,,,617.0,169675.0,"Business, management",0,0,0,305.72072072072075,305.72072072072075,318.63849765258215,320.14150943396226,305.72072072072075,0.0,2022,True,False,True,
finish_0052,the machine that changed the world,2022-09-25,195.0,195.0,195.0,180.0,180.0,180.0,0.0,0.0,0.0,15.0,15.0,15.0,6,2022-09-11,2022-09-25,195.0,raw_calendar_duration_sum,0.0,0.0,1,False,,,96800.0,metadata_pages_x_words_per_page,medium,,,352.0,96800.0,"Business, management",0,0,0,496.4102564102564,496.4102564102564,496.4102564102564,496.4102564102564,537.7777777777778,0.0,2022,True,False,True,
