finish_id,title,source_type,source,word_count,status,error,notes
finish_0002,Open,local_file,/Users/clarkbenham/side_projects/data/Books/The Architecture of Open Source Applications 2.pdf,169047,ok,,
finish_0007,Writing That Works: Third Edition,local_file,"/Users/clarkbenham/side_projects/data/Books/Writing That Works_ How to Communicate Effectively In Business-Kenneth Roman, Joel Raphaelson - Collins Reference (2000).epub",45497,ok,,
finish_0010,kim,local_file,/Users/clarkbenham/side_projects/data/Books/Kim Ji Young Born 1982 - Cho Nam-Joo.pdf,37985,ok,,
finish_0012,Dune,local_file,/Users/clarkbenham/side_projects/data/Books/(Dune Chronicles volume 2) Frank Herbert - Dune Messiah-Ace Books (2008).epub,77551,ok,,
finish_0013,Dune Messiah,local_file,/Users/clarkbenham/side_projects/data/Books/(Dune Chronicles volume 2) Frank Herbert - Dune Messiah-Ace Books (2008).epub,77551,ok,,
finish_0018,"Sadly, Porn",local_file,"/Users/clarkbenham/side_projects/data/Books/Sadly, Porn (2021) - Edward Teach.epub",299625,ok,,
finish_0021,screwtape letters,local_file,/Users/clarkbenham/side_projects/data/Books/The Screwtape Letters-C. S. Lewis -#keep#.epub,31324,ok,,
finish_0033,pragmatic programmer,local_file,"/Users/clarkbenham/side_projects/data/Books/The Pragmatic Programmer_ From Journeyman to Master-Andrew Hunt, David Thomas - Addison-Wesley Professional (1999).pdf",92108,ok,,
finish_0050,screwtape letters,local_file,/Users/clarkbenham/side_projects/data/Books/The Screwtape Letters-C. S. Lewis -#keep#.epub,31324,ok,,
finish_0052,starship troopers,local_file,/Users/clarkbenham/side_projects/data/Books/Starship Troopers Robert A. Heinlein - (1987).pdf,86665,ok,,
finish_0053,Stranger in a Strange Land,local_file,/Users/clarkbenham/side_projects/data/Books/Stranger in a strange land -Robert A. Heinlein - Ace Books (1961).pdf,169473,ok,,
finish_0055,The Moon Is A Harsh Mistress,local_file,/Users/clarkbenham/side_projects/data/Books/The Moon Is a Harsh Mistress - Robert A. Heinlein - (1987).pdf,120394,ok,,
finish_0057,Player of Games,local_file,/Users/clarkbenham/side_projects/data/Books/The Player of Games - Iain M. Banks - Orbit (2008).epub,116433,ok,,
finish_0063,out of the silent planet,local_file,data/Books/Out of the Silent Planet by CS Lewis.pdf,59569,ok,,
finish_0063,out of the silent planet,manual_count,https://www.gutenberg.ca/ebooks/lewiscs-outofthesilentplanet/lewiscs-outofthesilentplanet-00-h.html,57757,ok,,User-provided Gutenberg check: 58557 total words minus 174-word header and 626-word footer; local PDF clipboard count was 60636; Drive first-80-page extrapolation was about 57k.
finish_0063,out of the silent planet,web_html,https://www.gutenberg.ca/ebooks/lewiscs-outofthesilentplanet/lewiscs-outofthesilentplanet-00-h.html,59031,ok,,Programmatic HTML text count bounded to the novel body; retained as a secondary check because tokenizer/page-number handling differs from wc -w.
finish_0064,Perelandra by CS Lewis book 2.pdf,local_file,/Users/clarkbenham/side_projects/data/Books/Perelandra by CS Lewis book 2.pdf,86635,ok,,
finish_0065,that hideous strength,local_file,/Users/clarkbenham/side_projects/data/Books/That Hideous Strength by CS Lewis.pdf,159432,ok,,
finish_0066,The Screwtape Letters,local_file,/Users/clarkbenham/side_projects/data/Books/The Screwtape Letters-C. S. Lewis -#keep#.epub,31324,ok,,
finish_0071,how to win friends and influence people,local_file,"/Users/clarkbenham/side_projects/data/Books/How to Win Friends and Influence People -- Carnegie, Dale -- 2009 -- Simon and Schuster.epub",80457,ok,,
finish_0075,The Checklist Manifesto,local_file,"/Users/clarkbenham/side_projects/data/Books/The Checklist Manifesto- How to Get Things Right - Gawande, Atul.epub",58116,ok,,
finish_0081,Methuselah's Children,local_file,"/Users/clarkbenham/side_projects/data/Books/Methuselah's Children - Heinlein, Robert Anson.epub",67250,ok,,
finish_0084,50 essays by george orwell,local_file,/Users/clarkbenham/side_projects/data/Books/ 50 Essays by George Orwell.lit,232021,ok,,
finish_0088,what is man and other essays,local_file,"/Users/clarkbenham/side_projects/data/Books/What is Man_ and Other Essays, by Mark Twain.pdf",107358,ok,,
finish_0094,The Oxford Book of Short Stories,local_file,/Users/clarkbenham/side_projects/data/Books/The Oxford Book of Short Stories - V. S. Pritchett.epub,231363,ok,,
finish_0095,Red Plenty,local_file,"/Users/clarkbenham/side_projects/data/Books/Red Plenty - F Spufford - (2010, Faber and Faber).epub",172213,ok,,
finish_0096,The innocence of Father Brown,local_file,/Users/clarkbenham/side_projects/data/Books/The innocence of Father Brown by G. K. Chesterton.epub,83772,ok,,
finish_0098,Brief Interviews with Hideous Men,local_file,"/Users/clarkbenham/side_projects/data/Books/Brief Interviews with Hideous Men - Wallace, David Foster (1999).epub",109940,ok,,
finish_0100,self help is like a vaccine,local_file,/Users/clarkbenham/side_projects/data/Books/Self-Help Is Like a Vaccine- Essays on Living Better  by Bryan Caplan.epub,34712,ok,,
