title,source_type,word_count,url,path,start_marker,end_marker,subtract_header_words,subtract_footer_words,confidence,notes
out of the silent planet,manual_count,57757,https://www.gutenberg.ca/ebooks/lewiscs-outofthesilentplanet/lewiscs-outofthesilentplanet-00-h.html,,,,,,high,"User-provided Gutenberg check: 58557 total words minus 174-word header and 626-word footer; local PDF clipboard count was 60636; Drive first-80-page extrapolation was about 57k."
out of the silent planet,local_file,,,data/Books/Out of the Silent Planet by CS Lewis.pdf,,,,,high,"Exact local copy from user-provided Books directory."
out of the silent planet,web_html,,https://www.gutenberg.ca/ebooks/lewiscs-outofthesilentplanet/lewiscs-outofthesilentplanet-00-h.html,,The last drops,THE END,,,medium,"Programmatic HTML text count bounded to the novel body; retained as a secondary check because tokenizer/page-number handling differs from wc -w."
the history of the English speaking peoples volume 4,local_file,,,"data/Books/The Great Democracies_ A History of the English-Speaking Peoples, Volume IV - Churchill, Winston Spencer - (2005, Barnes & Noble).epub",,,,,high,"Exact local volume IV file; avoids matching the one-volume abridged collection."
Dune Messiah,web_count,64000,https://www.readinglength.com/book/BX9oRzY,,,,,,medium,"ReadingLength online-search estimate; rough guess."
The Screwtape Letters,web_count,40000,https://www.readinglength.com/work/WPCt7r2,,,,,,medium,"ReadingLength online-search estimate; rough guess."
The Checklist Manifesto,web_count,60000,https://www.readinglength.com/work/WmSu2Qp,,,,,,medium,"ReadingLength online-search estimate; rough guess."
how to win friends and influence people,web_count,72000,https://www.readinglength.com/book/B13Et31,,,,,,medium,"ReadingLength online-search estimate; rough guess."
The Moon Is A Harsh Mistress,web_count,95500,https://www.readinglength.com/book/BKfozRz,,,,,,medium,"ReadingLength online-search estimate; rough guess."
Stranger in a Strange Land,web_count,109500,https://www.readinglength.com/book/BtRmrhy,,,,,,medium,"ReadingLength online-search estimate; rough guess."
starship troopers,web_count,52000,https://www.readinglength.com/book/BstO0A6,,,,,,medium,"ReadingLength online-search estimate; rough guess."
pragmatic programmer,web_count,88000,https://www.readinglength.com/book/BSC5ung,,,,,,medium,"ReadingLength online-search estimate; rough guess; 20th anniversary edition may differ from the local PDF."
the goal,web_count,102000,https://www.readinglength.com/work/WbLKyCZ,,,,,,medium,"ReadingLength online-search estimate; rough guess; 25th anniversary edition may differ from the local EPUB."
Atomic Habits,web_count,51925,https://www.readinglength.com/book/BDlao2D,,,,,,medium,"ReadingLength online-search estimate based on audiobook length."
Good Omens,web_count,108000,https://www.readinglength.com/book/BaDpWtV,,,,,,medium,"ReadingLength online-search estimate; rough guess."
the power broker,web_count,311500,https://www.readinglength.com/book/BBZvmjw,,,,,,medium,"ReadingLength online-search estimate; rough guess."
on China,web_count,146500,https://www.readinglength.com/book/BnlFc4Y,,,,,,medium,"ReadingLength online-search estimate; rough guess."
Life and Fate,web_count,220000,https://www.readinglength.com/book/BRhPVDd,,,,,,medium,"ReadingLength online-search estimate; rough guess."
night watch,web_count,84500,https://www.readinglength.com/book/Bh4LNED,,,,,,medium,"ReadingLength online-search estimate; rough guess."
going postal,web_count,105865,https://www.readinglength.com/book/BOzBV4L,,,,,,medium,"ReadingLength online-search estimate based on audiobook length."
the effective executive,web_count,52000,https://www.readinglength.com/book/B27p7xT,,,,,,medium,"ReadingLength online-search estimate; rough guess."
The Path to Power: The Years of Lyndon Johnson I,web_count,220500,https://www.readinglength.com/book/Bri5ncI,,,,,,medium,"ReadingLength online-search estimate; rough guess."
means of ascent,web_count,130500,https://www.readinglength.com/work/Wkqedyu,,,,,,medium,"ReadingLength online-search estimate; rough guess."
master of the senate,web_count,308000,https://www.readinglength.com/work/WdnMtJb,,,,,,medium,"ReadingLength online-search estimate; rough guess."
the passage of power,web_count,184000,https://www.readinglength.com/work/WNLqUMg,,,,,,medium,"ReadingLength online-search estimate; rough guess."
shoe dog,web_count,96500,https://www.readinglength.com/book/Bvk4DQT,,,,,,medium,"ReadingLength online-search estimate; rough guess."
The Phoenix Project,web_count,108000,https://www.readinglength.com/book/BoA9I0V,,,,,,medium,"ReadingLength online-search estimate; rough guess."
