finish_id,title,finish_date,calendar_finish_ref,local_file_path,local_file_match_score,local_file_match_hint,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,external_word_count_notes,metadata_page_count,metadata_word_estimate,metadata_source,chosen_word_count,word_count_source,word_count_confidence,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local
finish_0001,The Inner game of tennis,2021-10-17,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/The Inner Game of Tennis_ The Classic Guide to the/The Inner Game of Tennis_ The Classic Guide to .pdf,90.0,The Inner game of tennis,45281.0,45281.0,0.0,pdf_repeated_header_footer_body_pages,,,,,141.0,38775.0,golden_master_multi_source.csv,45281.0,local_file_word_count,high,,,
finish_0002,Open,2021-10-23,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Open_ An Autobiography-Andre Agassi -Vintage (2010/Open_ An Autobiography-Andre Agassi -Vintage (2.pdf,90.0,Open_ An Autobiography-Andre Agassi -Vintage (2010).pdf,164578.0,164578.0,0.0,pdf_repeated_header_footer_body_pages,,,,,,,,164578.0,local_file_word_count,high,,,
finish_0003,Notes from Underground,2021-12-01,,,0.0,,,,,,,,,,132.0,36300.0,golden_master_multi_source.csv,36300.0,metadata_pages_x_words_per_page,medium,,,
finish_0004,jsgbp,2022-01-01,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0005,bobby-fischer-teaches-chess.pdf,2022-01-01,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/bobby-fischer-teaches-chess/bobby-fischer-teaches-chess.pdf,100.0,bobby-fischer-teaches-chess.pdf,0.0,0.0,0.0,pdf_raw_text_fallback,no_text_extracted,,,,334.0,91850.0,golden_master_multi_source.csv,91850.0,metadata_pages_x_words_per_page,medium,,,
finish_0006,Supplying War,2022-01-03,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Supplying War_ Logistics from Wallenstein to Patto/Supplying War_ Logistics from Wallenstein to Pa.pdf,90.0,Supplying War,112130.0,116455.0,4325.0,pdf_repeated_header_footer_body_pages,,,,,284.0,78100.0,golden_master_multi_source.csv,112130.0,local_file_word_count,high,,,
finish_0007,Writing That Works: Third Edition,2022-01-06,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Writing That Works_ Third Edition/Writing That Works_ Third Edition.epub,100.0,Writing That Works: Third Edition,44795.0,45497.0,702.0,epub_spine_body_sections,,,,,152.0,41800.0,golden_master_multi_source.csv,44795.0,local_file_word_count,high,,,
finish_0008,Rainbows End,2022-01-06,,,0.0,,,,,,,,,,384.0,105600.0,golden_master_multi_source.csv,105600.0,metadata_pages_x_words_per_page,medium,,,
finish_0009,ij,2022-01-10,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0010,kim,2022-01-17,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0011,Captain Courageous,2022-01-29,,,0.0,,,,,,,,,,,,,,,low,,,
