finish_id,title,finish_date,calendar_finish_ref,read_instance,is_reread,previous_finish_date,days_since_previous_finish,category,author,total_reading_hours,total_reading_minutes,print_reading_hours,audiobook_hours,audiobook_share,audiobook_wpm_assumed,n_sessions,first_session,last_session,pages,page_source,words_per_page_assumed,estimated_words,observed_total_wpm,audiobook_words_assumed,print_words_after_audiobook_assumption,audio_words_exceed_estimated_words,wpm,wpm_basis,highlighted_words,my_note_words,highlight_count,my_note_count,notes_max_page,notes_title,notes_sources,time_match_methods,word_count_confidence,word_count_confidence_reason,calendar_confidence,calendar_confidence_reason,speed_confidence,high_confidence_speed,high_confidence_first_read,reliable_speed,reliable_first_read,estimated_word_count,highlight_words_per_10k_words,note_words_per_10k_words,highlights_per_100_pages
finish_0001,Bleak House,2020-09-05,bleak house,1,False,,,Literature,Charles Dickens,0.48333333333333334,29.0,0.48333333333333334,0.0,0.0,,1,2020-07-24,2020-07-24,85.0,golden_master_multi_source.csv,275.0,23375.0,806.0344827586207,0.0,23375.0,False,806.0344827586207,pages_over_total_calendar_time,0,0,0,0,,,,generic_temporal,low,manual audit: 85 pages is not plausible for full Bleak House,low,only generic temporal calendar matching; only one matched session; high WPM suggests possible missing sessions,low,False,False,False,False,23375.0,0.0,0.0,0.0
finish_0002,goggins,2020-09-08,goggins,1,False,,,,,1.5,90.0,1.5,0.0,0.0,,1,2020-09-06,2020-09-06,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,ref_to_finished_title,low,missing page/word-count metadata,medium,only one matched session,low,False,False,False,False,,,,
finish_0003,elon,2020-09-09,elon,1,False,,,,,,,,,,,0,,,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,,low,missing page/word-count metadata,low,no matched calendar reading time,low,False,False,False,False,,,,
finish_0004,The fire upon the Deep,2020-11-05,The fire upon the Deep,1,False,,,,,26.5,1590.0,26.5,0.0,0.0,,21,2020-10-01,2020-11-04,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,generic_temporal,low,missing page/word-count metadata,low,only generic temporal calendar matching,low,False,False,False,False,,,,
finish_0005,Wheres my flying car,2020-11-11,Wheres my flying car,1,False,,,,,11.0,660.0,11.0,0.0,0.0,,8,2020-11-08,2020-11-11,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,"generic_temporal, ref_to_finished_title",low,missing page/word-count metadata,medium,some generic temporal calendar matching,low,False,False,False,False,,,,
finish_0006,Mathematicians Apology,2020-11-22,Mathematicians Apology,1,False,,,,,1.5,90.0,1.5,0.0,0.0,,2,2020-11-21,2020-11-22,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,generic_temporal,low,missing page/word-count metadata,low,only generic temporal calendar matching,low,False,False,False,False,,,,
finish_0007,Star Maker -Olaf Stapledon(2008).pdf,2020-11-23,Star Maker,1,False,,,fiction,Olaf Stapledon,3.75,225.0,3.75,0.0,0.0,,4,2020-11-22,2020-11-23,250.0,golden_master_multi_source.csv,275.0,68750.0,305.55555555555554,0.0,68750.0,False,305.55555555555554,pages_over_total_calendar_time,0,0,0,0,,,,"generic_temporal, ref_to_finished_title",high,metadata page count present and no local contradiction found,medium,some generic temporal calendar matching,medium,False,False,True,True,68750.0,0.0,0.0,0.0
finish_0008,Engineering Systems Management,2020-11-25,Engineering Systems Management,1,False,,,,,2.25,135.0,2.25,0.0,0.0,,3,2020-11-24,2020-11-25,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,generic_temporal,low,missing page/word-count metadata,low,only generic temporal calendar matching,low,False,False,False,False,,,,
finish_0009,Anton Chekhov short stories vol3,2020-11-29,Anton Chekhov short stories vol3,1,False,,,Literature,Anton Chekhov,5.5,330.0,5.5,0.0,0.0,,6,2020-11-27,2020-11-29,292.0,golden_master_multi_source.csv,275.0,80300.0,243.33333333333334,0.0,80300.0,False,243.33333333333334,pages_over_total_calendar_time,0,0,0,0,,,,generic_temporal,high,metadata page count present and no local contradiction found,low,only generic temporal calendar matching,low,False,False,False,False,80300.0,0.0,0.0,0.0
finish_0010,The art of Doing Science and Engineering,2020-12-01,The art of Doing Science and Engineering,1,False,,,General Reading,Richard W. Hamming,3.25,195.0,3.25,0.0,0.0,,4,2020-11-27,2020-12-01,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,"generic_temporal, ref_to_finished_title",low,missing page/word-count metadata,medium,some generic temporal calendar matching,low,False,False,False,False,,,,
