finish_date,cal_ref,title,calendar_name,finish_id,read_instance,is_reread,previous_finish_date,days_since_previous_finish
2020-09-05,bleak house,Bleak House,Things,finish_0001,1,False,,
2020-09-08,goggins,goggins,Things,finish_0002,1,False,,
2020-09-09,elon,elon,Things,finish_0003,1,False,,
2020-11-05,The fire upon the Deep,The fire upon the Deep,Things,finish_0004,1,False,,
2020-11-11,Wheres my flying car,Wheres my flying car,Things,finish_0005,1,False,,
2020-11-22,Mathematicians Apology,Mathematicians Apology,Things,finish_0006,1,False,,
2020-11-23,Star Maker,Star Maker -Olaf Stapledon(2008).pdf,Things,finish_0007,1,False,,
2020-11-25,Engineering Systems Management,Engineering Systems Management,Things,finish_0008,1,False,,
2020-11-29,Anton Chekhov short stories vol3,Anton Chekhov short stories vol3,Things,finish_0009,1,False,,
2020-12-01,The art of Doing Science and Engineering,The art of Doing Science and Engineering,Things,finish_0010,1,False,,
2020-12-09,Snowcrash,Snowcrash,Things,finish_0011,1,False,,
2020-12-14,Life cycle of Software objects,Life cycle of Software objects,Things,finish_0012,1,False,,
2020-12-18,Exhalation short stories,Exhalation short stories,Things,finish_0013,1,False,,
2021-01-22,Algo,Algo,clark.benham@gmail.com,finish_0014,1,False,,
2021-02-09,Cryptonomicon,Cryptonomicon,Things,finish_0015,1,False,,
2021-02-27,Class,Class_ A Guide Through the American Status System-Paul Fussell -.pdf,Things,finish_0016,1,False,,
2021-03-07,Radiance,Radiance_ A Novel � Gwern.net.pdf,Things,finish_0017,1,False,,
2021-04-15,Liftoff,Liftoff,Things,finish_0018,1,False,,
2021-04-16,EBSE,Evidence-based Software Engineering.pdf,clark.benham@gmail.com,finish_0019,1,False,,
2021-04-25,SWD,SWD,clark.benham@gmail.com,finish_0020,1,False,,
2021-10-17,The Inner game of tennis,The Inner game of tennis,Things,finish_0021,1,False,,
2021-10-23,Open,Open,Things,finish_0022,1,False,,
2021-11-30,NFU,Notes from Underground,Things,finish_0023,1,False,,
2021-12-31,jsgbp,jsgbp,clark.benham@gmail.com,finish_0024,1,False,,
2022-01-01,bftc,bobby-fischer-teaches-chess.pdf,Things,finish_0025,1,False,,
2022-01-03,sw,Supplying War,Things,finish_0026,1,False,,
2022-01-05,re,Rainbows End,Things,finish_0028,1,False,,
2022-01-05,wtw,Writing that works,Things,finish_0027,1,False,,
2022-01-10,ij,Inimitable Jeeves,Things,finish_0029,1,False,,
2022-01-16,kim,kim,Things,finish_0030,1,False,,
2022-01-29,Captain Courageous,Captain Courageous,Things,finish_0031,1,False,,
2022-02-15,Dune,Dune,Things,finish_0032,1,False,,
2022-02-18,Dune Messiah,Dune Messiah,Things,finish_0033,1,False,,
2022-02-21,children of Dune,Children of Dune,Things,finish_0034,1,False,,
2022-03-27,Huck Finn,Huck Finn,Things,finish_0035,1,False,,
2022-04-04,antisemite and jew,antisemite and jew,Things,finish_0036,1,False,,
2022-04-21,aobf,Autobiography of Ben Franklin,Things,finish_0037,1,False,,
2022-04-23,"Sadly, Porn","Sadly, Porn",Things,finish_0038,1,False,,
2022-04-26,the great divorce,The great divorce,Things,finish_0039,1,False,,
2022-05-12,Coup Detat,Coup Detat,Things,finish_0040,1,False,,
2022-05-13,screwtape letters,screwtape letters,Things,finish_0041,1,False,,
2022-05-15,Arnold Schwarzenegger,Arnold Schwarzenegger,Things,finish_0042,1,False,,
2022-05-24,SQL,SQL,clark.benham@gmail.com,finish_0043,1,False,,
2022-06-02,aeic,An Experiment in Criticism,Things,finish_0044,1,False,,
2022-06-03,talent,Talent,Things,finish_0045,1,False,,
2022-06-04,caw,Coders at Work,Things,finish_0046,1,False,,
2022-06-19,Power,Power: Why Some People Have Itand Others Don't,Things,finish_0047,1,False,,
2022-08-13,wb,working backwards,Things,finish_0048,1,False,,
2022-08-22,ML design patterns,ML design patterns,clark.benham@gmail.com,finish_0049,1,False,,
2022-09-09,good research code,good research code,Things,finish_0050,1,False,,
2022-09-22,Deep Learning by Goodfellow et all,Deep Learning by Goodfellow et all,Things,finish_0051,1,False,,
2022-09-25,the machine that changed the world,the machine that changed the world,Things,finish_0052,1,False,,
2022-10-27,pp,Pheonix project,Things,finish_0053,1,False,,
2022-11-29,The Art of Readable Code,The Art of Readable Code,Things,finish_0054,1,False,,
2022-12-02,ptaesp,ptaesp,Things,finish_0055,1,False,,
2022-12-04,the scholomancer,the scholomancer,Things,finish_0056,1,False,,
2022-12-05,the last graduate,The Last Graduate,Things,finish_0057,1,False,,
2022-12-06,the golden enclaves,The Golden Enclaves,Things,finish_0058,1,False,,
2022-12-26,ttbp,ttbp,Things,finish_0059,1,False,,
2022-12-27,tdf,the Dark Forrest,Things,finish_0060,1,False,,
2022-12-31,deaths end,deaths end,Things,finish_0061,1,False,,
2023-01-03,book: never,book: never,Things,finish_0062,1,False,,
2023-01-10,hswyltbakoib,hswyltbakoib,Things,finish_0063,1,False,,
2023-01-11,nf,Never Finished,Things,finish_0064,1,False,,
2023-01-23,pj,Piccadilly Jim,Things,finish_0065,1,False,,
2023-02-06,rboc,The Red Badge of Courage,Things,finish_0066,1,False,,
2023-02-26,wdycwopt,what do you care what other people think,Things,finish_0067,1,False,,
2023-02-28,syjf,surely you're joking Feynman,Things,finish_0068,1,False,,
2023-04-09,tltf,the light that failed,Things,finish_0069,1,False,,
2023-04-23,ffac,Full Faith and Credit,Things,finish_0070,1,False,,
2023-05-02,Screwtape letters,screwtape letters,Things,finish_0071,2,True,2022-05-13,354.0
2023-05-20,abf,Autobiography of Ben Franklin,Things,finish_0072,2,True,2022-04-21,394.0
2023-06-20,starship troopers,Starship Troopers,Things,finish_0073,1,False,,
2023-07-04,siasl,Stranger in a Strange Land,Things,finish_0074,1,False,,
2023-07-13,Bone,Bone,Waste Time,finish_0075,1,False,,
2023-07-26,The Moon Is A Harsh Mistress,The Moon is a harsh mistress,Things,finish_0076,1,False,,
2023-08-05,Essays to do good,Essays to Do Good,Things,finish_0077,1,False,,
2023-08-16,Player of Games,Player of Games,Things,finish_0078,1,False,,
2023-08-23,King Solomons Mines,King Solomons Mines,Things,finish_0079,1,False,,
2023-08-29,The Peace War,The Peace War,Things,finish_0080,1,False,,
2023-10-04,the sun also rises,The Sun Also Rises,Things,finish_0081,1,False,,
2023-10-25,hpmor,Harry Potter and the Methods of Rationality,Things,finish_0082,1,False,,
2023-11-08,3 men in a boat,Three Men in a Boat,Things,finish_0083,1,False,,
2023-12-05,out of the silent planet,out of the silent planet,Things,finish_0084,1,False,,
2023-12-10,perelandra,Perelandra by CS Lewis book 2.pdf,Things,finish_0085,1,False,,
2023-12-14,that hideous strength,that hideous strength,Things,finish_0086,1,False,,
2023-12-21,the screwtape letters,The Screwtape Letters,Things,finish_0087,1,False,,
2023-12-23,the abolition of man,the abolition of man,Things,finish_0088,1,False,,
2024-01-20,the man who was Thursday,The Man Who Was Thursday,Things,finish_0089,1,False,,
2024-01-21,digital minamalism,digital minamalism,Things,finish_0090,1,False,,
2024-02-19,ewtca,Easy Way to control Alchool,Things,finish_0091,1,False,,
2024-02-23,how to win friends and influence people,How to win friends and influence people,Things,finish_0092,1,False,,
2024-03-01,tremendous trifles,Tremendous Trifles,Things,finish_0093,1,False,,
2024-03-08,Jude the obscure,Jude the Obscure,Things,finish_0094,1,False,,
2024-03-12,cyikac,A Connecticut Yankee in King Arthur’s Court,Things,finish_0095,1,False,,
2024-03-19,the checklist manifesto,The Checklist Manifesto,Things,finish_0096,1,False,,
2024-03-27,the persuit of the well beloved,the persuit of the well beloved,Things,finish_0097,1,False,,
2024-04-10,knudson,knudson,Things,finish_0098,1,False,,
2024-05-03,Marooned in Real Time,Marooned in Real Time,Things,finish_0099,1,False,,
2024-05-04,the world of null a,the world of null-a,Things,finish_0100,1,False,,
2024-05-11,16 ways to defend a walled city,16 ways to defend a walled city,Things,finish_0101,1,False,,
2024-05-15,Methuselah's Children,Methuselah's Children,Things,finish_0102,1,False,,
2024-05-17,move: the dark knight,move: the dark knight,Waste Time,finish_0103,1,False,,
2024-06-04,consider phlebas,consider phlebas,Things,finish_0104,1,False,,
2024-06-19,50 essays by george orwell,50 essays by George Orwell,Things,finish_0105,1,False,,
2024-06-30,Jeeves stories,Jeeves Stories,Things,finish_0106,1,False,,
2024-07-13,just for fun,Just for Fun : The Story of an Accidental Revolutionary,Things,finish_0107,1,False,,
2024-07-29,Stalky & Co,Stalky & Co,Things,finish_0108,1,False,,
2024-08-07,what is man and other essays,what is man and other essays,Things,finish_0109,1,False,,
2024-08-17,essay: tausf,essay: tausf,Things,finish_0110,1,False,,
2024-08-24,there is no anti-memetic division,there is no anti-memetic division,Things,finish_0111,1,False,,
2024-08-27,consider the lobster,consider the lobster,Things,finish_0112,1,False,,
2024-08-28,the last interview,the last interview,Things,finish_0113,1,False,,
2024-09-04,A supposedly fun thing I'll never do again,A Supposedly Fun Thing I'll Never Do Again,Things,finish_0114,1,False,,
2024-09-14,the oxford book of short stories,The Oxford Book of Short Stories,Things,finish_0115,1,False,,
2024-09-19,red plenty,Red Plenty,Things,finish_0116,1,False,,
2024-09-25,the innocence of father brown,The innocence of Father Brown,Things,finish_0117,1,False,,
2024-10-02,hitlers uranium club,Hitlers Uranium Club,Things,finish_0118,1,False,,
2024-10-09,brief interviews with hideous men,Brief Interviews with Hideous Men,Things,finish_0119,1,False,,
2024-10-09,the religion war,the religion war,Things,finish_0120,1,False,,
2024-10-10,self help is like a vaccine,self help is like a vaccine,Things,finish_0121,1,False,,
2024-10-12,the goal,the goal,Things,finish_0122,1,False,,
2024-10-17,situational awareness,situational awareness,Things,finish_0123,1,False,,
