percentile,wpm,nearest_book
p5,192.65188434048085,Brief Interviews with Hideous Men
p10,203.67205128205129,Red Plenty
p15,227.14408602150536,that hideous strength
p20,246.03809523809525,consider phlebas
p25,272.77777777777777,The Man Who Was Thursday
p30,292.3333333333333,what do you care what other people think
p35,300.8333333333333,The Moon is a harsh mistress
p40,311.5851851851852,Apollo: The Race to the Moon
p45,341.7730555555556,Perelandra by CS Lewis book 2.pdf
p50,387.0906432748538,Rainbows End
p55,426.51851851851853,surely you're joking Feynman
p60,467.8666666666667,Monday Starts on Saturday
p65,491.48611111111114,Atomic Habits
p70,541.4444444444445,the machine that changed the world
p75,584.9479166666666,Inimitable Jeeves
p80,642.5833333333334,parkinson's law
p85,692.5416666666666,Never Finished
p90,967.0833333333336,The Art of Readable Code
p95,1235.086111111111,DFW_TV.pdf
