percentile,wpm,nearest_book
p5,198.31166666666667,The Oxford Book of Short Stories
p10,217.25,Supplying War
p15,228.1984639016897,Stranger in a Strange Land
p20,250.63458646616544,consider phlebas
p25,269.72222222222223,The Man Who Was Thursday
p30,284.12,The Golden Enclaves
p35,293.3333333333333,what do you care what other people think
p40,302.22222222222223,The Moon is a harsh mistress
p45,309.4341841841842,Writing that works
p50,326.86805555555554,Dune Messiah
p55,363.0595833333333,The Sun Also Rises
p60,387.8947368421052,Rainbows End
p65,424.4981481481481,IMPRO Improvisation and the Theatre
p70,460.3423611111111,Monday Starts on Saturday
p75,488.73611111111114,An Experiment in Criticism
p80,531.513888888889,the machine that changed the world
p85,560.4270833333334,good research code
p90,586.6666666666666,Inimitable Jeeves
p95,650.1130952380953,How to Fail at Almost Everything and Still Win Big
