finish_id,title,finish_date,calendar_finish_ref,read_instance,is_reread,previous_finish_date,days_since_previous_finish,category,author,total_reading_hours,total_reading_minutes,print_reading_hours,audiobook_hours,audiobook_share,audiobook_wpm_assumed,n_sessions,first_session,last_session,pages,page_source,words_per_page_assumed,estimated_words,observed_total_wpm,audiobook_words_assumed,print_words_after_audiobook_assumption,audio_words_exceed_estimated_words,wpm,wpm_basis,highlighted_words,my_note_words,highlight_count,my_note_count,notes_max_page,notes_title,notes_sources,time_match_methods,word_count_confidence,word_count_confidence_reason,calendar_confidence,calendar_confidence_reason,speed_confidence,high_confidence_speed,high_confidence_first_read,reliable_speed,reliable_first_read,estimated_word_count,highlight_words_per_10k_words,note_words_per_10k_words,highlights_per_100_pages
finish_0007,Star Maker -Olaf Stapledon(2008).pdf,2020-11-23,Star Maker,1,False,,,fiction,Olaf Stapledon,3.75,225.0,3.75,0.0,0.0,,4,2020-11-22,2020-11-23,250.0,golden_master_multi_source.csv,275.0,68750.0,305.55555555555554,0.0,68750.0,False,305.55555555555554,pages_over_total_calendar_time,0,0,0,0,,,,"generic_temporal, ref_to_finished_title",high,metadata page count present and no local contradiction found,medium,some generic temporal calendar matching,medium,False,False,True,True,68750.0,0.0,0.0,0.0
finish_0016,Class_ A Guide Through the American Status System-Paul Fussell -.pdf,2021-02-27,Class,1,False,,,General Reading,Paul Fussell,4.75,285.0,4.75,0.0,0.0,,4,2021-02-14,2021-02-27,202.0,golden_master_multi_source.csv,275.0,55550.0,194.91228070175438,0.0,55550.0,False,194.91228070175438,pages_over_total_calendar_time,0,0,0,0,,,,"generic_temporal, ref_to_finished_title",high,metadata page count present and no local contradiction found,medium,some generic temporal calendar matching,medium,False,False,True,True,55550.0,0.0,0.0,0.0
finish_0023,Notes from Underground,2021-11-30,NFU,1,False,,,Literature,Fyodor Dostoevsky,2.25,135.0,2.25,0.0,0.0,,4,2021-11-27,2021-11-30,132.0,golden_master_multi_source.csv,275.0,36300.0,268.8888888888889,0.0,36300.0,False,268.8888888888889,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,36300.0,0.0,0.0,0.0
finish_0026,Supplying War,2022-01-03,sw,1,False,,,"Business, management",Martin van Creveld,6.0,360.0,6.0,0.0,0.0,,7,2021-11-08,2022-01-02,284.0,golden_master_multi_source.csv,275.0,78100.0,216.94444444444446,0.0,78100.0,False,216.94444444444446,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,78100.0,0.0,0.0,0.0
finish_0027,Writing that works,2022-01-05,wtw,1,False,,,"Business, management",Kenneth Roman,2.25,135.0,2.25,0.0,0.0,,4,2022-01-03,2022-01-04,152.0,golden_master_multi_source.csv,275.0,41800.0,309.6296296296296,0.0,41800.0,False,309.6296296296296,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,41800.0,0.0,0.0,0.0
finish_0028,Rainbows End,2022-01-05,re,1,False,,,fiction,Vernor Vinge,4.5,270.0,4.5,0.0,0.0,,5,2021-12-28,2021-12-30,384.0,golden_master_multi_source.csv,275.0,105600.0,391.1111111111111,0.0,105600.0,False,391.1111111111111,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,105600.0,0.0,0.0,0.0
finish_0029,Inimitable Jeeves,2022-01-10,ij,1,False,,,Literature,P. G. Wodehouse,1.75,105.0,1.75,0.0,0.0,,3,2022-01-08,2022-01-09,224.0,golden_master_multi_source.csv,275.0,61600.0,586.6666666666666,0.0,61600.0,False,586.6666666666666,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,61600.0,0.0,0.0,0.0
finish_0033,Dune Messiah,2022-02-18,Dune Messiah,1,False,,,fiction,Frank Herbert,3.75,225.0,3.75,0.0,0.0,,3,2022-02-18,2022-02-18,278.0,golden_master_multi_source.csv,275.0,76450.0,339.77777777777777,0.0,76450.0,False,339.77777777777777,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,76450.0,0.0,0.0,0.0
finish_0041,screwtape letters,2022-05-13,screwtape letters,1,False,,,Literature,C. S. Lewis,1.25,75.0,1.25,0.0,0.0,,1,2022-05-12,2022-05-12,160.0,golden_master_multi_source.csv,275.0,44000.0,586.6666666666666,0.0,44000.0,False,586.6666666666666,pages_over_total_calendar_time,6402,0,130,0,98.0,The Screwtape Letters,Notes from _The Screwtape Letters_.docx,ref_to_finished_title,high,metadata page count present and no local contradiction found,medium,only one matched session,medium,False,False,True,True,44000.0,1455.0,0.0,81.25
finish_0044,An Experiment in Criticism,2022-06-02,aeic,1,False,,,Literature,C.S. Lewis,1.25,75.0,1.25,0.0,0.0,,2,2022-05-31,2022-06-01,133.0,golden_master_multi_source.csv,275.0,36575.0,487.6666666666667,0.0,36575.0,False,487.6666666666667,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,36575.0,0.0,0.0,0.0
finish_0045,Talent,2022-06-03,talent,1,False,,,"Business, management",Tyler Cowen and Daniel Gross,6.75,405.0,6.75,0.0,0.0,,12,2022-05-20,2022-06-02,288.0,golden_master_multi_source.csv,275.0,79200.0,195.55555555555554,0.0,79200.0,False,195.55555555555554,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,79200.0,0.0,0.0,0.0
finish_0046,Coders at Work,2022-06-04,caw,1,False,,,"Business, management",Peter Seibel,9.25,555.0,9.25,0.0,0.0,,11,2022-01-12,2022-06-04,617.0,golden_master_multi_source.csv,275.0,169675.0,305.72072072072075,0.0,169675.0,False,305.72072072072075,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,169675.0,0.0,0.0,0.0
finish_0050,good research code,2022-09-09,good research code,1,False,,,"Business, management",Patrick Mineault,0.5,30.0,0.5,0.0,0.0,,1,2022-09-08,2022-09-08,60.0,golden_master_multi_source.csv,275.0,16500.0,550.0,0.0,16500.0,False,550.0,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,medium,only one matched session,medium,False,False,True,True,16500.0,0.0,0.0,0.0
