title,finish_date,pages,total_reading_hours,print_reading_hours,audiobook_hours,wpm,observed_total_wpm,pages_per_hour,time_pages_expected_hours,time_pages_ratio_vs_expected,time_pages_residual_log_hours,time_pages_outlier_direction,page_source,wpm_basis
The Screwtape Letters,2023-12-21,160.0,0.25,0.25,0.0,2933.3333333333335,2933.3333333333335,640.0,1.5639083285898594,0.15985591701875476,-1.8334823880915818,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
The Checklist Manifesto,2024-03-19,209.0,0.5,0.5,0.0,1915.8333333333333,1915.8333333333333,418.0,2.1839128724219425,0.2289468624476323,-1.4742653440671374,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
what is man and other essays,2024-08-07,375.0,1.25,1.25,0.0,1375.0,1375.0,300.0,4.534946207553935,0.2756372276076515,-1.2886696705626806,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
DFW_TV.pdf,2025-10-09,407.0,1.5,1.5,0.0,1243.611111111111,1243.611111111111,271.3333333333333,5.023695988806337,0.29858494688815945,-1.2087008074446433,faster_than_page_count_predicts,books_enriched_with_goodreads.csv,pages_over_total_calendar_time
Jude the Obscure,2024-03-08,240.0,8.5,8.5,0.0,129.41176470588235,129.41176470588235,28.235294117647058,2.596043193332114,3.27421362704291,1.1860777263752347,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
bobby-fischer-teaches-chess.pdf,2022-01-01,334.0,1.25,1.25,0.0,1224.6666666666667,1224.6666666666667,267.2,3.9239185157700684,0.3185591125239479,-1.1439472245693407,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Designing Machine Learning Systems,2024-11-21,386.0,1.5,1.5,0.0,1179.4444444444443,1179.4444444444443,257.3333333333333,4.7018224675024785,0.319025231251824,-1.1424850844918197,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Arnold Schwarzenegger,2022-05-15,256.0,1.0,1.0,0.0,1173.3333333333333,1173.3333333333333,256.0,2.8141398579061723,0.3553483659280667,-1.034656658205618,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Life and Fate,2025-01-21,487.0,17.25,17.25,0.0,129.39613526570048,129.39613526570048,28.231884057971016,6.286886013184833,2.7438067055491966,1.0093462647983316,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Jeeves Stories,2024-06-30,263.0,7.875,7.875,0.0,153.06878306878306,153.06878306878306,33.3968253968254,2.910646821713032,2.7055841819260116,0.995317852725075,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Class_ A Guide Through the American Status System-Paul Fussell -.pdf,2021-02-27,202.0,4.75,4.75,0.0,194.91228070175438,194.91228070175438,42.526315789473685,2.0928726015221937,2.26960780916393,0.8196070452732092,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
The Art of Readable Code,2022-11-29,206.0,1.0,1.0,0.0,944.1666666666666,944.1666666666666,206.0,2.1448007637746254,0.4662437727969214,-0.7630466640448388,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Brief Interviews with Hideous Men,2024-10-09,281.0,6.75,6.75,0.0,190.80246913580248,190.80246913580248,41.629629629629626,3.1617354539000253,2.134903472608318,0.75842143376544,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Talent,2022-06-03,288.0,6.75,6.75,0.0,195.55555555555554,195.55555555555554,42.666666666666664,3.2604866223307147,2.0702431206955403,0.7276660499919843,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Starship Troopers,2023-06-20,233.0,1.25,1.25,0.0,854.3333333333334,854.3333333333334,186.4,2.5017490598477616,0.4996504325961717,-0.6938465598763113,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Supplying War,2022-01-03,284.0,6.0,6.0,0.0,216.94444444444446,216.94444444444446,47.333333333333336,3.203982992184334,1.8726691167325658,0.6273647483430431,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
The innocence of Father Brown,2024-09-25,208.0,4.0,4.0,0.0,238.33333333333334,238.33333333333334,52.0,2.170859809333846,1.842587892042392,0.6111710465446485,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Notes from Underground,2021-11-30,132.0,2.25,2.25,0.0,268.8888888888889,268.8888888888889,58.666666666666664,1.2296601829212885,1.8297738117003208,0.6041923590504408,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Full Faith and Credit,2023-04-23,300.0,6.25,6.25,0.0,220.0,220.0,48.0,3.4311683482813384,1.8215369709651832,0.5996806342493466,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Never Finished,2023-01-11,312.0,2.0,2.0,0.0,715.0,715.0,156.0,3.60356532967691,0.5550058947257429,-0.5887765441646416,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Harry Potter and the Methods of Rationality,2023-10-25,1967.0,20.0,20.0,0.0,450.7708333333333,450.7708333333333,98.35,35.99428234646705,0.5556438049656812,-0.5876278285790497,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Red Plenty,2024-09-19,434.0,9.75,9.75,0.0,204.01709401709402,204.01709401709402,44.51282051282051,5.443652192396701,1.7910769563158522,0.5828170905060213,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
The Man Who Was Thursday,2024-01-20,162.0,2.75,2.75,0.0,270.0,270.0,58.90909090909091,1.5883809515329494,1.7313227014879333,0.5488856837110427,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
The Oxford Book of Short Stories,2024-09-14,547.0,12.5,12.5,0.0,200.56666666666666,200.56666666666666,43.76,7.269502462068603,1.7195124515361966,0.5420407922342454,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
that hideous strength,2023-12-14,382.0,7.75,7.75,0.0,225.91397849462365,225.91397849462365,49.29032258064516,4.64100082165749,1.6698984330780964,0.5127628060630327,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Anton Chekhov short stories vol3,2020-11-29,292.0,5.5,5.5,0.0,243.33333333333334,243.33333333333334,53.09090909090909,3.3171867320221473,1.6580314719416522,0.5056310384036689,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Three Men in a Boat,2023-11-08,184.0,3.0,3.0,0.0,281.1111111111111,281.1111111111111,61.333333333333336,1.8624257002761382,1.610802513923211,0.4767325106614455,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Stranger in a Strange Land,2023-07-04,438.0,8.75,8.75,0.0,229.42857142857142,229.42857142857142,50.05714285714286,5.5064353065006975,1.5890498140730116,0.4631362363854219,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
out of the silent planet,2023-12-05,174.0,2.75,2.75,0.0,290.0,290.0,63.27272727272727,1.7367811286371824,1.5833889225626665,0.45956743774908126,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
"Declare_ A novel - Powers, Tim.pdf",2024-11-28,528.0,4.5,4.5,0.0,537.7777777777778,537.7777777777778,117.33333333333333,6.955271799854483,0.6469912505927012,-0.4354225076133207,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
How to Fail at Almost Everything and Still Win Big,2024-10-30,248.0,1.75,1.75,0.0,649.5238095238095,649.5238095238095,141.71428571428572,2.704651884614434,0.6470333612820839,-0.43535742277797684,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
How to win friends and influence people,2024-02-23,276.0,4.75,4.75,0.0,266.3157894736842,266.3157894736842,58.10526315789474,3.0915735109923057,1.536434434798669,0.4294644298905417,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Writing that works,2022-01-05,152.0,2.25,2.25,0.0,309.6296296296296,309.6296296296296,67.55555555555556,1.4667885153787001,1.5339634694501871,0.42785488874376876,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
50 essays by George Orwell,2024-06-19,346.0,2.75,2.75,0.0,576.6666666666666,576.6666666666666,125.81818181818181,4.100915768565033,0.6705819273538172,-0.3996093952776496,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Bleak House,2020-09-05,85.0,0.48333333333333334,0.48333333333333334,0.0,806.0344827586207,806.0344827586207,175.86206896551724,0.709342460014499,0.6813822103972939,-0.3836318815259351,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
consider phlebas,2024-06-04,471.0,8.75,8.75,0.0,246.71428571428572,246.71428571428572,53.82857142857143,6.029782222148558,1.4511303522471433,0.37234280601254177,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
what do you care what other people think,2023-02-26,256.0,4.0,4.0,0.0,293.3333333333333,293.3333333333333,64.0,2.8141398579061723,1.4213934637122667,0.35163770291427254,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
the machine that changed the world,2022-09-25,352.0,3.0,3.0,0.0,537.7777777777778,537.7777777777778,117.33333333333333,4.189994805686213,0.7159913410700941,-0.3340872055721402,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
there is no anti-memetic division,2024-08-24,253.0,2.0,2.0,0.0,579.7916666666666,579.7916666666666,126.5,2.7729801659323607,0.7212456924759644,-0.32677543348135096,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Star Maker -Olaf Stapledon(2008).pdf,2020-11-23,250.0,3.75,3.75,0.0,305.55555555555554,305.55555555555554,66.66666666666667,2.7319422735017924,1.3726497943872238,0.31674302825477496,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Inimitable Jeeves,2022-01-10,224.0,1.75,1.75,0.0,586.6666666666666,586.6666666666666,128.0,2.381552577254329,0.7348147660958044,-0.3081368304486771,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Tremendous Trifles,2024-03-01,142.0,1.0,1.0,0.0,650.8333333333334,650.8333333333334,142.0,1.3471802404489246,0.7422911723131919,-0.2980136972731575,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
The Golden Enclaves,2022-12-06,384.0,6.25,6.25,0.0,281.6,281.6,61.44,4.671391851841623,1.3379310060525185,0.29112439539334733,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
The Inner game of tennis,2021-10-17,141.0,1.0,1.0,0.0,646.25,646.25,141.0,1.3353324380673233,0.7488771870526395,-0.2891802781314503,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
parkinson's law,2025-01-14,140.0,1.0,1.0,0.0,641.6666666666666,641.6666666666666,140.0,1.3235056175615532,0.7555691390584462,-0.280283987150173,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
