title,avg_enjoyment,goodreads_rating,amazon_rating,category
The Influence of Seapower Upon History,3,3.89,,General Reading
Unsong,4,4.4,,General Reading
Neuromancer (Sprawl #1),4,3.87,,General Reading
"Freedom™ (Daemon, #2)",2,4.27,,General Reading
Selected poems (Penguin modern European poets),3,4.16,,General Reading
The Psychology of Invention in the Mathematical Field,4,3.98,,General Reading
Quantum Computing Since Democritus,4,4.17,,General Reading
The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,2,3.71,,General Reading
"The House at Pooh Corner (Winnie-the-Pooh, #2)",4,4.38,,General Reading
"Blindsight (Firefall, #1)",5,4.0,,General Reading
Around the World in Eighty Days,4,3.95,,General Reading
One Hundred Famous Views of Edo,5,4.53,,General Reading
Everyman and Other Miracle and Morality Plays,3,3.29,,General Reading
"Martin the Warrior (Redwall, #6)",3,4.16,,General Reading
The Firm,3,2.67,,General Reading
"Zen Flesh, Zen Bones",5,4.18,,General Reading
McNamara's Folly: The Use of Low-IQ Troops in the Vietnam War,4,4.29,,General Reading
"A Deepness in the Sky (Zones of Thought, #2)",5,4.31,,General Reading
Drop Dead Healthy: One Man's Humble Quest for Bodily Perfection,3,3.75,,General Reading
Le Ton beau de Marot: In Praise of the Music of Language,5,4.24,,General Reading
Radiance,5,3.77,,General Reading
Spam Nation: The Inside Story of Organized Cybercrime — from Global Epidemic to Your Front Door,3,3.7,,General Reading
On the Historicity of Jesus: Why We Might Have Reason for Doubt,3,4.27,,General Reading
Existence,2,3.77,,General Reading
"City of Golden Shadow (Otherland, #1)",4,3.93,,General Reading
The Discovery of France: A Historical Geography from the Revolution to the First World War,5,4.0,,General Reading
The Battle between the Frogs and the Mice: A Tiny Homeric Epic,4,4.53,,General Reading
The Hye Ch'O Diary: Memoir of the Pilgrimage to the Five Regions of India (Religions of Asia Series) (English and Korean Edition),3,4.2,,General Reading
An Introduction to Japanese Court Poetry,3,3.89,,General Reading
Private Wealth in Renaissance Florence: A Study of Four Families,3,4.0,,General Reading
String of Beads: Complete Poems of Princess Shikishi (Shaps Library of Translations),3,4.29,,General Reading
Spec Ops: Case Studies in Special Operations Warfare: Theory and Practice,4,4.2,,General Reading
The Complete Winnie-the-Pooh,5,4.42,,General Reading
"Worm (Parahumans, #1)",5,4.6,,General Reading
The Book of Fantasy,4,4.08,,General Reading
Bad Blood: Secrets and Lies in a Silicon Valley Startup,4,4.38,,General Reading
Left in the dark : the biological origins of the fall from grace : an investigation into the evolution of the human brain : a journey to the edge of the human mind,1,4.09,,General Reading
Earthsearch,5,4.58,,General Reading
Indiscrete Thoughts,3,4.21,,General Reading
The End of History and the Last Man,4,3.61,,General Reading
"iWoz - Computer Geek to Cult Icon: How I Invented the Personal Computer, Co-Founded Apple, and Had Fun Doing It",3,3.75,,General Reading
Eragon (The Inheritance Cycle #1),1,3.96,,General Reading
House of Leaves,3,4.11,,General Reading
Good Thinking: The Foundations of Probability and Its Applications (Dover Books on Mathematics),2,4.0,,General Reading
The Wallet of Kai Lung (Kai Lung #1),3,3.43,,General Reading
The Master Switch: The Rise and Fall of Information Empires,4,3.85,,General Reading
The Circus of Dr. Lao,4,3.82,,General Reading
The Kindly Ones,4,3.92,,General Reading
Cognitive Surplus: Creativity and Generosity in a Connected Age,3,3.83,,General Reading
The Lady Tasting Tea: How Statistics Revolutionized Science in the Twentieth Century,2,3.94,,General Reading
The Ideological Origins of the American Revolution,4,4.04,,General Reading
"Shadow Games (The Chronicles of the Black Company, #4)",3,4.1,,General Reading
The Man Who Knew Infinity: A Life of the Genius Ramanujan,4,4.03,,General Reading
"The Judging Eye (Aspect-Emperor, #1)",3,4.01,,General Reading
"In the Plex: How Google Thinks, Works, and Shapes Our Lives",4,3.83,,General Reading
Curves and Angles: Poems,3,3.59,,General Reading
"Dreams of Steel (The Chronicles of the Black Company, #5)",4,4.11,,General Reading
Un Lun Dun,3,3.83,,General Reading
Shame,3,3.25,,General Reading
"Perseverance island: or, The Robinson Crusoe of the nineteenth century",3,3.5,,General Reading
Theological Incorrectness: Why Religious People Believe What They Shouldn't,3,3.96,,General Reading
Pirate Freedom,3,3.7,,General Reading
"Star Wars: Before the Storm (The Black Fleet Crisis, #1)",3,3.42,,General Reading
More Poems,3,4.15,,General Reading
The Fountain,2,3.0,,General Reading
The Complete Poems,1,4.21,,General Reading
"Bitter Seeds (The Milkweed Triptych, #1)",3,3.74,,General Reading
Newton and the Counterfeiter: The Unknown Detective Career of the World's Greatest Scientist,3,3.76,,General Reading
"Spice & Wolf, Vol. 01",3,4.17,,General Reading
Silicon Snake Oil: Second Thoughts on the Information Highway,3,3.34,,General Reading
Chinese History in Economic Perspective (Volume 13) (Studies on China),3,3.0,,General Reading
Portfolios of the Poor: How the World's Poor Live on $2 a Day,3,3.94,,General Reading
Structural Equation Modeling: A Bayesian Approach (Wiley Series in Probability and Statistics),3,3.0,,General Reading
Memoirs Found in a Bathtub,3,3.8,,General Reading
"Puzzles of the Black Widowers (The Black Widowers, #5)",2,3.97,,General Reading
Star Maker,5,3.93,,General Reading
Being Wrong: Adventures in the Margin of Error,3,3.93,,General Reading
The True Believer: Thoughts on the Nature of Mass Movements,4,4.18,,General Reading
Friendship is Optimal,4,4.14,,General Reading
The Great Gatsby,4,3.93,,General Reading
The Thousand Autumns of Jacob de Zoet,5,4.01,,General Reading
Declare,4,4.03,,General Reading
The Japanese Family Storehouse: Or the Millionaire's Gospel Modernised,3,4.18,,General Reading
Clever Hans (The horse of Mr. Von Osten): A contribution to experimental animal and human psychology,3,4.0,,General Reading
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,3,4.07,,General Reading
"Daemon (Daemon, #1)",3,4.17,,General Reading
Fascinating Mathematical People: Interviews and Memoirs,2,3.71,,General Reading
Although of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace,3,3.93,,General Reading
No Country for Old Men,3,4.16,,General Reading
Dhalgren,1,3.78,,General Reading
Lords of Finance: The Bankers Who Broke the World,5,4.01,,General Reading
Packing for Mars: The Curious Science of Life in the Void,4,3.93,,General Reading
Tau Zero,3,3.83,,General Reading
Mathematical People: Profiles and Interviews,3,3.88,,General Reading
A Confederacy of Dunces,3,3.89,,General Reading
The Mature Optimization Handbook,2,4.1,,General Reading
The Poems of Gerard Manley Hopkins,3,4.29,,General Reading
Tales of Ise: Lyrical Episodes from Tenth-Century Japan,2,3.97,,General Reading
1000 Poems from the Manyōshū,3,4.15,,General Reading
The Rapture of the Nerds,3,3.34,,General Reading
Japanese Love Hotels: A Cultural History (Routledge Contemporary Japan Series),3,3.33,,General Reading
Confessions of an English Opium Eater,3,3.3,,General Reading
"Singularity Rising: Surviving and Thriving in a Smarter, Richer, and More Dangerous World",4,3.68,,General Reading
Voyage of the Beagle,3,4.03,,General Reading
Robert Bakewell and the Longhorn Breed of Cattle,3,3.67,,General Reading
The Ocean at the End of the Lane,3,4.0,,General Reading
Renaming of the Birds,3,4.42,,General Reading
"Light (Kefahuchi Tract, #1)",2,3.62,,General Reading
Wired Love: A Romance of Dots and Dashes,4,3.88,,General Reading
The Windup Girl,4,3.75,,General Reading
A Life of Sir Francis Galton: From African Exploration to the Birth of Eugenics,4,3.69,,General Reading
The Devil in the White City,4,3.99,,General Reading
A Random Walk Down Wall Street,3,4.05,,General Reading
Genius: The Life and Science of Richard Feynman,5,4.11,,General Reading
The Histories,5,3.99,,General Reading
The Signal and the Noise: Why So Many Predictions Fail—But Some Don't,4,3.95,,General Reading
"Drug Interdiction: Partnerships, Legal Principles, and Investigative Methodologies for Law Enforcement",3,3.5,,General Reading
The Hall of Uselessness: Collected Essays,4,4.32,,General Reading
The Legend of Sigurd & Gudrún,2,3.88,,General Reading
The Iron Dragon's Daughter (The Iron Dragon's Daughter #1),4,3.72,,General Reading
"A Memory of Light (The Wheel of Time, #14)",3,4.56,,General Reading
The Notenki Memoirs: Studio Gainax & The Men Who Created Evangelion,5,3.61,,General Reading
The Wages of Destruction: The Making and Breaking of the Nazi Economy,5,4.53,,General Reading
Game Programming Patterns,3,4.5,,General Reading
"The Midas Paradox: Financial Markets, Government Policy Shocks, and the Great Depression",3,3.84,,General Reading
The Buried Giant,3,3.57,,General Reading
Urne Burial,5,4.07,,General Reading
Solid Fool's Gold: Detours on the Way to Conventional Wisdom,2,3.66,,General Reading
The Secret History of the Mongols (2 vols): A Mongolian Epic Chronicle of the Thirteenth Century,3,4.46,,General Reading
"Handbook of Intelligence: Evolutionary Theory, Historical Perspective, and Current Concepts",3,3.5,,General Reading
Moondust,4,4.06,,General Reading
Tombstone: The Untold Story of Mao's Great Famine,4,4.19,,General Reading
空ろの箱と零のマリア 1,3,4.19,,General Reading
The Grand Strategy of the Roman Empire: From the First Century CE to the Third,4,4.15,,General Reading
Web Typography: A handbook for designing beautiful and effective responsive typography,4,4.67,,General Reading
"Fujiwara Teika's Hundred-Poem Sequence of the Shōji Era, 1200: A Complete Translation, with Introduction and Commentary",4,4.43,,General Reading
"The Dark Side of the Enlightenment: Wizards, Alchemists, and Spiritual Seekers in the Age of Reason",3,3.22,,General Reading
New Legends,3,3.38,,General Reading
Playboy Interview Ii,4,4.5,,General Reading
On the Road,3,3.63,,General Reading
"Ready Player One (Ready Player One, #1)",4,4.21,,General Reading
Drift into Failure,3,4.01,,General Reading
The Mask of Sanity,4,3.99,,General Reading
Turing's Cathedral: The Origins of the Digital Universe,4,3.57,,General Reading
Ketamine: Dreams and Realities,4,4.19,,General Reading
Possible Worlds,3,4.06,,General Reading
"Uncontrolled: The Surprising Payoff of Trial-and-Error for Business, Politics, and Society",3,3.72,,General Reading
Red Plenty: Inside the Fifties’ Soviet Dream,4,4.08,,General Reading
Research Fraud in the Behavioral and Biomedical Sciences,3,3.0,,General Reading
"Past, Present, and Future of Statistical Science",4,3.5,,General Reading
