title,avg_enjoyment,goodreads_rating,category,read_year,link
The Influence of Seapower Upon History,3,3.89,General Reading,2012,https://www.goodreads.com/review/show/370100886?utm_medium=api&utm_source=rss
Unsong,4,4.4,General Reading,2017,https://www.goodreads.com/review/show/1997706071?utm_medium=api&utm_source=rss
Neuromancer (Sprawl #1),4,3.87,General Reading,2025,https://www.goodreads.com/review/show/369944430?utm_medium=api&utm_source=rss
"Freedom™ (Daemon, #2)",2,4.27,General Reading,2025,https://www.goodreads.com/review/show/572799761?utm_medium=api&utm_source=rss
Selected poems (Penguin modern European poets),3,4.16,General Reading,2014,https://www.goodreads.com/review/show/954822895?utm_medium=api&utm_source=rss
The Psychology of Invention in the Mathematical Field,4,3.98,General Reading,2014,https://www.goodreads.com/review/show/829841188?utm_medium=api&utm_source=rss
Quantum Computing Since Democritus,4,4.17,General Reading,2013,https://www.goodreads.com/review/show/584350400?utm_medium=api&utm_source=rss
The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,2,3.71,General Reading,2015,https://www.goodreads.com/review/show/1424450849?utm_medium=api&utm_source=rss
"The House at Pooh Corner (Winnie-the-Pooh, #2)",4,4.38,General Reading,2024,https://www.goodreads.com/review/show/370627282?utm_medium=api&utm_source=rss
"Blindsight (Firefall, #1)",5,4.0,General Reading,2024,https://www.goodreads.com/review/show/369828622?utm_medium=api&utm_source=rss
Around the World in Eighty Days,4,3.95,General Reading,2024,https://www.goodreads.com/review/show/370165761?utm_medium=api&utm_source=rss
One Hundred Famous Views of Edo,5,4.53,General Reading,2024,https://www.goodreads.com/review/show/370205061?utm_medium=api&utm_source=rss
Everyman and Other Miracle and Morality Plays,3,3.29,General Reading,2024,https://www.goodreads.com/review/show/374272735?utm_medium=api&utm_source=rss
"Martin the Warrior (Redwall, #6)",3,4.16,General Reading,2024,https://www.goodreads.com/review/show/370163606?utm_medium=api&utm_source=rss
The Firm,3,2.67,General Reading,2024,https://www.goodreads.com/review/show/370054264?utm_medium=api&utm_source=rss
"Zen Flesh, Zen Bones",5,4.18,General Reading,2024,https://www.goodreads.com/review/show/370598440?utm_medium=api&utm_source=rss
McNamara's Folly: The Use of Low-IQ Troops in the Vietnam War,4,4.29,General Reading,2018,https://www.goodreads.com/review/show/2333328079?utm_medium=api&utm_source=rss
"A Deepness in the Sky (Zones of Thought, #2)",5,4.31,General Reading,2023,https://www.goodreads.com/review/show/369825906?utm_medium=api&utm_source=rss
Drop Dead Healthy: One Man's Humble Quest for Bodily Perfection,3,3.75,General Reading,2015,https://www.goodreads.com/review/show/1438354031?utm_medium=api&utm_source=rss
Le Ton beau de Marot: In Praise of the Music of Language,5,4.24,General Reading,2023,https://www.goodreads.com/review/show/369832354?utm_medium=api&utm_source=rss
Radiance,5,3.77,General Reading,2014,https://www.goodreads.com/review/show/370154318?utm_medium=api&utm_source=rss
Spam Nation: The Inside Story of Organized Cybercrime — from Global Epidemic to Your Front Door,3,3.7,General Reading,2015,https://www.goodreads.com/review/show/1164690081?utm_medium=api&utm_source=rss
On the Historicity of Jesus: Why We Might Have Reason for Doubt,3,4.27,General Reading,2018,https://www.goodreads.com/review/show/2427193336?utm_medium=api&utm_source=rss
Existence,2,3.77,General Reading,2012,https://www.goodreads.com/review/show/467110336?utm_medium=api&utm_source=rss
"City of Golden Shadow (Otherland, #1)",4,3.93,General Reading,2022,https://www.goodreads.com/review/show/369956876?utm_medium=api&utm_source=rss
The Discovery of France: A Historical Geography from the Revolution to the First World War,5,4.0,General Reading,2013,https://www.goodreads.com/review/show/369875300?utm_medium=api&utm_source=rss
The Battle between the Frogs and the Mice: A Tiny Homeric Epic,4,4.53,General Reading,2020,https://www.goodreads.com/review/show/3231032913?utm_medium=api&utm_source=rss
The Hye Ch'O Diary: Memoir of the Pilgrimage to the Five Regions of India (Religions of Asia Series) (English and Korean Edition),3,4.2,General Reading,2020,https://www.goodreads.com/review/show/2584837486?utm_medium=api&utm_source=rss
An Introduction to Japanese Court Poetry,3,3.89,General Reading,2020,https://www.goodreads.com/review/show/371034191?utm_medium=api&utm_source=rss
Private Wealth in Renaissance Florence: A Study of Four Families,3,4.0,General Reading,2019,https://www.goodreads.com/review/show/3057694930?utm_medium=api&utm_source=rss
String of Beads: Complete Poems of Princess Shikishi (Shaps Library of Translations),3,4.29,General Reading,2019,https://www.goodreads.com/review/show/2821183153?utm_medium=api&utm_source=rss
Spec Ops: Case Studies in Special Operations Warfare: Theory and Practice,4,4.2,General Reading,2016,https://www.goodreads.com/review/show/1702133540?utm_medium=api&utm_source=rss
The Complete Winnie-the-Pooh,5,4.42,General Reading,2022,https://www.goodreads.com/review/show/372380958?utm_medium=api&utm_source=rss
"Worm (Parahumans, #1)",5,4.6,General Reading,2014,https://www.goodreads.com/review/show/825541415?utm_medium=api&utm_source=rss
The Book of Fantasy,4,4.08,General Reading,2021,https://www.goodreads.com/review/show/369873253?utm_medium=api&utm_source=rss
Bad Blood: Secrets and Lies in a Silicon Valley Startup,4,4.38,General Reading,2018,https://www.goodreads.com/review/show/2427192790?utm_medium=api&utm_source=rss
