title,category,read_year,link,trueEnjoy,grRating,ridge_full_enjoy,rf_enjoy,gbm_enjoy,heuristic_sum
"The Influence of Seapower Upon History",General Reading,2012,https://www.goodreads.com/review/show/370100886?utm_medium=api&utm_source=rss,3,3.89,3.3995016919938865,3.1694320895565324,2.621145477958113,3.89
"Unsong",General Reading,2017,https://www.goodreads.com/review/show/1997706071?utm_medium=api&utm_source=rss,4,4.4,3.8822527144857184,3.6096795378627475,2.9257548071628277,4.4
"Neuromancer (Sprawl #1)",General Reading,2025,https://www.goodreads.com/review/show/369944430?utm_medium=api&utm_source=rss,4,3.87,3.380570279347148,3.1916184602363327,2.621145477958113,3.87
"Freedom™ (Daemon, #2)",General Reading,2025,https://www.goodreads.com/review/show/572799761?utm_medium=api&utm_source=rss,2,4.27,3.7591985322819172,3.447846145126452,2.9275548225167403,4.27
"Selected poems (Penguin modern European poets)",General Reading,2014,https://www.goodreads.com/review/show/954822895?utm_medium=api&utm_source=rss,3,4.16,3.6550757627248562,3.2764615559201165,2.6440748476244127,4.16
"The Psychology of Invention in the Mathematical Field",General Reading,2014,https://www.goodreads.com/review/show/829841188?utm_medium=api&utm_source=rss,4,3.98,3.48469304890421,3.1166020754783723,2.5386562938085575,3.98
"Quantum Computing Since Democritus",General Reading,2013,https://www.goodreads.com/review/show/584350400?utm_medium=api&utm_source=rss,4,4.17,3.6645414690482254,3.2943931354785496,2.6440748476244127,4.17
"The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World",General Reading,2015,https://www.goodreads.com/review/show/1424450849?utm_medium=api&utm_source=rss,2,3.71,3.2291189781732403,3.1180525219192736,2.6920097982944986,3.71
"The House at Pooh Corner (Winnie-the-Pooh, #2)",General Reading,2024,https://www.goodreads.com/review/show/370627282?utm_medium=api&utm_source=rss,4,4.38,3.86332130183898,3.5961210061167157,2.954018112679327,4.38
"Blindsight (Firefall, #1)",General Reading,2024,https://www.goodreads.com/review/show/369828622?utm_medium=api&utm_source=rss,5,4,3.5036244615509484,3.109294885935889,2.5386562938085575,4
"Around the World in Eighty Days",General Reading,2024,https://www.goodreads.com/review/show/370165761?utm_medium=api&utm_source=rss,4,3.95,3.4562959299341025,3.167391229562459,2.645010657526909,3.95
"One Hundred Famous Views of Edo",General Reading,2024,https://www.goodreads.com/review/show/370205061?utm_medium=api&utm_source=rss,5,4.53,4.005306896689519,3.656207828865651,3.361656719965461,4.53
"Everyman and Other Miracle and Morality Plays",General Reading,2024,https://www.goodreads.com/review/show/374272735?utm_medium=api&utm_source=rss,3,3.29,2.831559312591733,2.8606176201027456,2.6652901079298643,3.29
"Martin the Warrior (Redwall, #6)",General Reading,2024,https://www.goodreads.com/review/show/370163606?utm_medium=api&utm_source=rss,3,4.16,3.6550757627248562,3.2764615559201165,2.6440748476244127,4.16
"The Firm",General Reading,2024,https://www.goodreads.com/review/show/370054264?utm_medium=api&utm_source=rss,3,2.67,2.24468552054284,2.8606176201027456,2.6652901079298643,2.67
"Zen Flesh, Zen Bones",General Reading,2024,https://www.goodreads.com/review/show/370598440?utm_medium=api&utm_source=rss,5,4.18,3.6740071753715946,3.2943931354785496,2.6440748476244127,4.18
"McNamara's Folly: The Use of Low-IQ Troops in the Vietnam War",General Reading,2018,https://www.goodreads.com/review/show/2333328079?utm_medium=api&utm_source=rss,4,4.29,3.7781299449286565,3.4945954908361223,3.0740397452633794,4.29
"A Deepness in the Sky (Zones of Thought, #2)",General Reading,2023,https://www.goodreads.com/review/show/369825906?utm_medium=api&utm_source=rss,5,4.31,3.797061357575395,3.478839420587795,3.0740397452633794,4.31
"Drop Dead Healthy: One Man's Humble Quest for Bodily Perfection",General Reading,2015,https://www.goodreads.com/review/show/1438354031?utm_medium=api&utm_source=rss,3,3.75,3.266981803466718,3.143957952431198,2.9420243767299623,3.75
"Le Ton beau de Marot: In Praise of the Music of Language",General Reading,2023,https://www.goodreads.com/review/show/369832354?utm_medium=api&utm_source=rss,5,4.24,3.7308014133118106,3.4402107118031364,2.9275548225167403,4.24
"Radiance",General Reading,2014,https://www.goodreads.com/review/show/370154318?utm_medium=api&utm_source=rss,5,3.77,3.2859132161134554,3.1396523968756425,2.82691905075889,3.77
"Spam Nation: The Inside Story of Organized Cybercrime — from Global Epidemic to Your Front Door",General Reading,2015,https://www.goodreads.com/review/show/1164690081?utm_medium=api&utm_source=rss,3,3.7,3.219653271849872,3.1058996741370155,2.6920097982944986,3.7
"On the Historicity of Jesus: Why We Might Have Reason for Doubt",General Reading,2018,https://www.goodreads.com/review/show/2427193336?utm_medium=api&utm_source=rss,3,4.27,3.7591985322819172,3.447846145126452,2.9275548225167403,4.27
"Existence",General Reading,2012,https://www.goodreads.com/review/show/467110336?utm_medium=api&utm_source=rss,2,3.77,3.2859132161134554,3.1396523968756425,2.82691905075889,3.77
"City of Golden Shadow (Otherland, #1)",General Reading,2022,https://www.goodreads.com/review/show/369956876?utm_medium=api&utm_source=rss,4,3.93,3.437364517287364,3.1705351892940024,2.645010657526909,3.93
"The Discovery of France: A Historical Geography from the Revolution to the First World War",General Reading,2013,https://www.goodreads.com/review/show/369875300?utm_medium=api&utm_source=rss,5,4,3.5036244615509484,3.109294885935889,2.5386562938085575,4
"The Battle between the Frogs and the Mice: A Tiny Homeric Epic",General Reading,2020,https://www.goodreads.com/review/show/3231032913?utm_medium=api&utm_source=rss,4,4.53,4.005306896689519,3.656207828865651,3.361656719965461,4.53
"The Hye Ch'O Diary: Memoir of the Pilgrimage to the Five Regions of India (Religions of Asia Series) (English and Korean Edition)",General Reading,2020,https://www.goodreads.com/review/show/2584837486?utm_medium=api&utm_source=rss,3,4.2,3.692938588018333,3.38316215536463,2.895634800768575,4.2
"An Introduction to Japanese Court Poetry",General Reading,2020,https://www.goodreads.com/review/show/371034191?utm_medium=api&utm_source=rss,3,3.89,3.3995016919938865,3.1694320895565324,2.621145477958113,3.89
"Private Wealth in Renaissance Florence: A Study of Four Families",General Reading,2019,https://www.goodreads.com/review/show/3057694930?utm_medium=api&utm_source=rss,3,4,3.5036244615509484,3.109294885935889,2.5386562938085575,4
"String of Beads: Complete Poems of Princess Shikishi (Shaps Library of Translations)",General Reading,2019,https://www.goodreads.com/review/show/2821183153?utm_medium=api&utm_source=rss,3,4.29,3.7781299449286565,3.4945954908361223,3.0740397452633794,4.29
"Spec Ops: Case Studies in Special Operations Warfare: Theory and Practice",General Reading,2016,https://www.goodreads.com/review/show/1702133540?utm_medium=api&utm_source=rss,4,4.2,3.692938588018333,3.38316215536463,2.895634800768575,4.2
"The Complete Winnie-the-Pooh",General Reading,2022,https://www.goodreads.com/review/show/372380958?utm_medium=api&utm_source=rss,5,4.42,3.901184127132456,3.7046565988456712,3.361656719965461,4.42
"Worm (Parahumans, #1)",General Reading,2014,https://www.goodreads.com/review/show/825541415?utm_medium=api&utm_source=rss,5,4.6,4.071566840953103,3.656207828865651,3.361656719965461,4.6
"The Book of Fantasy",General Reading,2021,https://www.goodreads.com/review/show/369873253?utm_medium=api&utm_source=rss,4,4.08,3.5793501121379028,3.2941670084941954,2.7622671254511912,4.08
"Bad Blood: Secrets and Lies in a Silicon Valley Startup",General Reading,2018,https://www.goodreads.com/review/show/2427192790?utm_medium=api&utm_source=rss,4,4.38,3.86332130183898,3.5961210061167157,2.954018112679327,4.38
"Left in the dark : the biological origins of the fall from grace : an investigation into the evolution of the human brain : a journey to the edge of the human mind",General Reading,2012,https://www.goodreads.com/review/show/369885742?utm_medium=api&utm_source=rss,1,4.09,3.588815818461272,3.301044940592961,2.7622671254511912,4.09
"Earthsearch",General Reading,1995,https://www.goodreads.com/review/show/4010467126?utm_medium=api&utm_source=rss,5,4.58,4.052635428306365,3.656207828865651,3.361656719965461,4.58
"Indiscrete Thoughts",General Reading,2017,https://www.goodreads.com/review/show/1997328808?utm_medium=api&utm_source=rss,3,4.21,3.702404294341702,3.4095684461202582,2.895634800768575,4.21
"The End of History and the Last Man",General Reading,2004,https://www.goodreads.com/review/show/369928090?utm_medium=api&utm_source=rss,4,3.61,3.1344619149395485,3.091631454525206,2.8817425997587325,3.61
"iWoz - Computer Geek to Cult Icon: How I Invented the Personal Computer, Co-Founded Apple, and Had Fun Doing It",General Reading,2020,https://www.goodreads.com/review/show/369829112?utm_medium=api&utm_source=rss,3,3.75,3.266981803466718,3.143957952431198,2.9420243767299623,3.75
"Eragon (The Inheritance Cycle #1)",General Reading,2004,https://www.goodreads.com/review/show/369973900?utm_medium=api&utm_source=rss,1,3.96,3.4657616362574717,3.1368509099167032,2.5386562938085575,3.96
"House of Leaves",General Reading,2020,https://www.goodreads.com/review/show/507574892?utm_medium=api&utm_source=rss,3,4.11,3.6077472311080103,3.290748344706648,2.7622671254511912,4.11
"Good Thinking: The Foundations of Probability and Its Applications (Dover Books on Mathematics)",General Reading,2013,https://www.goodreads.com/review/show/497088586?utm_medium=api&utm_source=rss,2,4,3.5036244615509484,3.109294885935889,2.5386562938085575,4
"The Wallet of Kai Lung (Kai Lung #1)",General Reading,2013,https://www.goodreads.com/review/show/664549499?utm_medium=api&utm_source=rss,3,3.43,2.9640792011189014,2.847226251055127,2.6652901079298643,3.43
"The Master Switch: The Rise and Fall of Information Empires",General Reading,2010,https://www.goodreads.com/review/show/370187143?utm_medium=api&utm_source=rss,4,3.85,3.36163886670041,3.187094234950601,2.621145477958113,3.85
"The Circus of Dr. Lao",General Reading,2011,https://www.goodreads.com/review/show/370188072?utm_medium=api&utm_source=rss,4,3.82,3.3332417477303022,3.157021060768792,2.621145477958113,3.82
"The Kindly Ones",General Reading,2020,https://www.goodreads.com/review/show/370207955?utm_medium=api&utm_source=rss,4,3.92,3.427898810963994,3.16665920115171,2.621145477958113,3.92
"Cognitive Surplus: Creativity and Generosity in a Connected Age",General Reading,2012,https://www.goodreads.com/review/show/425118086?utm_medium=api&utm_source=rss,3,3.83,3.3427074540536714,3.1791866000905817,2.621145477958113,3.83
"The Lady Tasting Tea: How Statistics Revolutionized Science in the Twentieth Century",General Reading,2020,https://www.goodreads.com/review/show/370178949?utm_medium=api&utm_source=rss,2,3.94,3.4468302236107324,3.167391229562459,2.645010657526909,3.94
"The Ideological Origins of the American Revolution",General Reading,2011,https://www.goodreads.com/review/show/370192024?utm_medium=api&utm_source=rss,4,4.04,3.541487286844425,3.1413284543957407,2.57426083774174,4.04
"Shadow Games (The Chronicles of the Black Company, #4)",General Reading,2013,https://www.goodreads.com/review/show/639823401?utm_medium=api&utm_source=rss,3,4.1,3.5982815247846403,3.299161823709844,2.7622671254511912,4.1
"The Man Who Knew Infinity: A Life of the Genius Ramanujan",General Reading,2013,https://www.goodreads.com/review/show/692991828?utm_medium=api&utm_source=rss,4,4.03,3.532021580521057,3.130877929761123,2.57426083774174,4.03
"The Judging Eye (Aspect-Emperor, #1)",General Reading,2020,https://www.goodreads.com/review/show/395314693?utm_medium=api&utm_source=rss,3,4.01,3.5130901678743176,3.130877929761123,2.57426083774174,4.01
"In the Plex: How Google Thinks, Works, and Shapes Our Lives",General Reading,2013,https://www.goodreads.com/review/show/569922309?utm_medium=api&utm_source=rss,4,3.83,3.3427074540536714,3.1791866000905817,2.621145477958113,3.83
"Curves and Angles: Poems",General Reading,2019,https://www.goodreads.com/review/show/1090123896?utm_medium=api&utm_source=rss,3,3.59,3.1155305022928093,3.082543237186989,2.8817425997587325,3.59
"Dreams of Steel (The Chronicles of the Black Company, #5)",General Reading,2013,https://www.goodreads.com/review/show/639958766?utm_medium=api&utm_source=rss,4,4.11,3.6077472311080103,3.290748344706648,2.7622671254511912,4.11
"Un Lun Dun",General Reading,2014,https://www.goodreads.com/review/show/370584885?utm_medium=api&utm_source=rss,3,3.83,3.3427074540536714,3.1791866000905817,2.621145477958113,3.83
"Shame",General Reading,2013,https://www.goodreads.com/review/show/668566831?utm_medium=api&utm_source=rss,3,3.25,2.793696487298256,2.8606176201027456,2.6652901079298643,3.25
"Perseverance island: or, The Robinson Crusoe of the nineteenth century",General Reading,2014,https://www.goodreads.com/review/show/1127697713?utm_medium=api&utm_source=rss,3,3.5,3.0303391453824866,2.9449681630854956,2.6652901079298643,3.5
"Theological Incorrectness: Why Religious People Believe What They Shouldn't",General Reading,2015,https://www.goodreads.com/review/show/424972918?utm_medium=api&utm_source=rss,3,3.96,3.4657616362574717,3.1368509099167032,2.5386562938085575,3.96
