FID,the_geom,LAYER,BUILDING_M,BUILDING_U,BUILDING_A
building_map_dom_points.1,POINT (-61.43011564083071 15.421875629941708),Unknown Point Feature,B__1,Unknown,?
building_map_dom_points.2,POINT (-61.415741663633675 15.621303805854707),Unknown Point Feature,B__2,Unknown,?
building_map_dom_points.3,POINT (-61.41623219045045 15.621298045266414),Unknown Point Feature,B__3,Unknown,?
building_map_dom_points.4,POINT (-61.41604377818822 15.621287121983068),Unknown Point Feature,B__4,Unknown,?
building_map_dom_points.5,POINT (-61.41596610471708 15.621249262709014),Unknown Point Feature,B__5,Unknown,?
building_map_dom_points.6,POINT (-61.416010975281054 15.62118933464074),Unknown Point Feature,B__6,Unknown,?
building_map_dom_points.7,POINT (-61.41608525249057 15.621155440980475),Unknown Point Feature,B__7,Unknown,?
building_map_dom_points.8,POINT (-61.415842559139655 15.62127323697879),Unknown Point Feature,B__8,Unknown,?
building_map_dom_points.9,POINT (-61.41568160931454 15.621284508287781),Unknown Point Feature,B__9,Unknown,?
building_map_dom_points.10,POINT (-61.41564225347221 15.621268922171037),Unknown Point Feature,B__10,Unknown,?
building_map_dom_points.11,POINT (-61.415953853286865 15.621430886260649),Unknown Point Feature,B__11,Unknown,?
building_map_dom_points.12,POINT (-61.41607443328593 15.621536001672157),Unknown Point Feature,B__12,Unknown,?
building_map_dom_points.13,POINT (-61.41581353668527 15.621325628353727),Unknown Point Feature,B__13,Unknown,?
building_map_dom_points.14,POINT (-61.41579857245527 15.621346560687064),Unknown Point Feature,B__14,Unknown,?
building_map_dom_points.15,POINT (-61.46541771392001 15.590537224445665),Unknown Point Feature,B__15,Unknown,?
building_map_dom_points.16,POINT (-61.46326021829989 15.591697175075456),Unknown Point Feature,B__16,Unknown,?
building_map_dom_points.17,POINT (-61.46311079204211 15.592080012968532),Unknown Point Feature,B__17,Unknown,?
building_map_dom_points.18,POINT (-61.46295755728154 15.592136373053526),Unknown Point Feature,B__18,Unknown,?
building_map_dom_points.19,POINT (-61.463366240768046 15.5921180706666),Unknown Point Feature,B__19,Unknown,?
building_map_dom_points.20,POINT (-61.463090364278884 15.591472308495831),Unknown Point Feature,B__20,Unknown,?
building_map_dom_points.21,POINT (-61.4633107226331 15.592873356432536),Unknown Point Feature,B__21,Unknown,?
building_map_dom_points.22,POINT (-61.462674300091265 15.59373944339224),Unknown Point Feature,B__22,Unknown,?
building_map_dom_points.23,POINT (-61.46259294797313 15.593775146862573),Unknown Point Feature,B__23,Unknown,?
building_map_dom_points.24,POINT (-61.46280698281817 15.593799502567265),Unknown Point Feature,B__24,Unknown,?
building_map_dom_points.25,POINT (-61.462820021340015 15.593697577801922),Unknown Point Feature,B__25,Unknown,?
building_map_dom_points.26,POINT (-61.46297635849285 15.593669766286418),Unknown Point Feature,B__26,Unknown,?
building_map_dom_points.27,POINT (-61.46289665648709 15.594007561913632),Unknown Point Feature,B__27,Unknown,?
building_map_dom_points.28,POINT (-61.46166573773041 15.597023883899668),Unknown Point Feature,B__28,Unknown,?
building_map_dom_points.29,POINT (-61.4610525692768 15.596859389310485),Unknown Point Feature,B__29,Unknown,?
building_map_dom_points.30,POINT (-61.46113894365644 15.596986947031386),Unknown Point Feature,B__30,Unknown,?
building_map_dom_points.31,POINT (-61.46139064856729 15.597109616641399),Unknown Point Feature,B__31,Unknown,?
building_map_dom_points.32,POINT (-61.46127148886539 15.597196440597147),Unknown Point Feature,B__32,Unknown,?
building_map_dom_points.33,POINT (-61.46123797270373 15.59709041178093),Unknown Point Feature,B__33,Unknown,?
building_map_dom_points.34,POINT (-61.461377881404424 15.597148822266576),Unknown Point Feature,B__34,Unknown,?
building_map_dom_points.35,POINT (-61.46152958894902 15.597297995999124),Unknown Point Feature,B__35,Unknown,?
building_map_dom_points.36,POINT (-61.461207540223874 15.597407581328882),Unknown Point Feature,B__36,Unknown,?
building_map_dom_points.37,POINT (-61.46104333595706 15.59726134258762),Unknown Point Feature,B__37,Unknown,?
building_map_dom_points.38,POINT (-61.461086487949856 15.597748297959159),Unknown Point Feature,B__38,Unknown,?
building_map_dom_points.39,POINT (-61.46134887843873 15.597692703708335),Unknown Point Feature,B__39,Unknown,?
building_map_dom_points.40,POINT (-61.4614275726979 15.59783735191779),Unknown Point Feature,B__40,Unknown,?
building_map_dom_points.41,POINT (-61.46141490044944 15.597889971396869),Unknown Point Feature,B__41,Unknown,?
building_map_dom_points.42,POINT (-61.46008792836226 15.597986095244114),Unknown Point Feature,B__42,Unknown,?
building_map_dom_points.43,POINT (-61.4609511761163 15.59726272821187),Unknown Point Feature,B__43,Unknown,?
building_map_dom_points.44,POINT (-61.46083413838203 15.597195598450218),Unknown Point Feature,B__44,Unknown,?
building_map_dom_points.45,POINT (-61.46147378513469 15.597050453153072),Unknown Point Feature,B__45,Unknown,?
building_map_dom_points.46,POINT (-61.461565409290856 15.59699668597132),Unknown Point Feature,B__46,Unknown,?
building_map_dom_points.47,POINT (-61.46175625058749 15.597047329190763),Unknown Point Feature,B__47,Unknown,?
building_map_dom_points.48,POINT (-61.46157859873592 15.597374980777003),Unknown Point Feature,B__48,Unknown,?
building_map_dom_points.49,POINT (-61.4609407344919 15.598543672507548),Unknown Point Feature,B__49,Unknown,?
building_map_dom_points.50,POINT (-61.46068338570104 15.598759504060578),Unknown Point Feature,B__50,Unknown,?
building_map_dom_points.51,POINT (-61.459624801993456 15.597682055870402),Unknown Point Feature,B__51,Unknown,?
building_map_dom_points.52,POINT (-61.459602069824264 15.597802804134393),Unknown Point Feature,B__52,Unknown,?
building_map_dom_points.53,POINT (-61.43789387105806 15.548743156118041),Unknown Point Feature,B__53,Unknown,?
building_map_dom_points.54,POINT (-61.447243836059315 15.563726478971585),Unknown Point Feature,B__54,Unknown,?
building_map_dom_points.55,POINT (-61.44740283267167 15.563706559186901),Unknown Point Feature,B__55,Unknown,?
building_map_dom_points.56,POINT (-61.4474710355667 15.563689824855675),Unknown Point Feature,B__56,Unknown,?
building_map_dom_points.57,POINT (-61.44711745040386 15.563607951209798),Unknown Point Feature,B__57,Unknown,?
building_map_dom_points.58,POINT (-61.44687321361747 15.563679871452486),Unknown Point Feature,B__58,Unknown,?
building_map_dom_points.59,POINT (-61.44680216580952 15.563681283203007),Unknown Point Feature,B__59,Unknown,?
building_map_dom_points.60,POINT (-61.447123272841395 15.56375240800558),Unknown Point Feature,B__60,Unknown,?
building_map_dom_points.61,POINT (-61.45834731696626 15.59756923673813),Unknown Point Feature,B__61,Unknown,?
building_map_dom_points.62,POINT (-61.46333884241903 15.61721187554132),Unknown Point Feature,B__62,Unknown,?
building_map_dom_points.63,POINT (-61.463352332659206 15.61728508124101),Unknown Point Feature,B__63,Unknown,?
