FID,the_geom,LAYER,TOWNS,NAME,CLASS,POPULATION
d_towns_points.1,POINT (-61.36575077834467 15.212445679515524),Unknown Point Feature,Scotts_Head,Scotts_Head,Rural,35
d_towns_points.2,POINT (-61.35670518550869 15.222332405905481),Unknown Point Feature,Galion,Galion,Rural,131
d_towns_points.3,POINT (-61.360146877322755 15.232933750980019),Unknown Point Feature,Soufriere,Soufriere,Rural,53
d_towns_points.4,POINT (-61.37499322606826 15.26041337614287),Unknown Point Feature,Pointe_Michel,Pointe_Michel,Rural,39
d_towns_points.5,POINT (-61.347848329784945 15.266242438723093),Unknown Point Feature,Bellevue_Chopin,Bellevue_Chopin,Rural,127
d_towns_points.6,POINT (-61.32625784618514 15.26471938757226),Unknown Point Feature,Pichelin,Pichelin,Rural,128
d_towns_points.7,POINT (-61.3339981085196 15.236043084702708),Unknown Point Feature,Tete_Morne/Montine,Tete_Morne/Montine,Rural,66
d_towns_points.8,POINT (-61.32035054784703 15.24196987389141),Unknown Point Feature,Grandbay,Grandbay,Rural,47
d_towns_points.9,POINT (-61.30384492445615 15.247681522423763),Unknown Point Feature,Dubuc,Dubuc,Rural,54
d_towns_points.10,POINT (-61.28476042015776 15.248498420201276),Unknown Point Feature,Bagatelle,Bagatelle,Suburban,130
d_towns_points.11,POINT (-61.28257847201632 15.245657527641265),Unknown Point Feature,Fond_St._Jean,Fond_St._Jean,Suburban,55
d_towns_points.12,POINT (-61.26921776950063 15.255595010686264),Unknown Point Feature,Petite_Savane,Petite_Savane,Rural,129
d_towns_points.13,POINT (-61.26306340999709 15.287899104388718),Unknown Point Feature,Delices,Delices,Suburban,126
d_towns_points.14,POINT (-61.36376139815613 15.275091601520515),Unknown Point Feature,Fond_Baron,Fond_Baron,Suburban,72
d_towns_points.15,POINT (-61.37093757724265 15.275084991669118),Unknown Point Feature,Madrel,Madrel,Rural,65
d_towns_points.16,POINT (-61.250725337561555 15.308352802149171),Unknown Point Feature,Boetica,Boetica,Rural,123
d_towns_points.17,POINT (-61.25158411797883 15.314775338000459),Unknown Point Feature,Fond_Calabasse,Fond_Calabasse,Suburban,121
d_towns_points.18,POINT (-61.24764887441555 15.318649815184255),Unknown Point Feature,Laronde,Laronde,Rural,117
d_towns_points.19,POINT (-61.25012253981164 15.329204109461825),Unknown Point Feature,La_Plaine,La_Plaine,Rural,36
