FID,the_geom,id,name,place,source,is_in,highway,addr_stree,waterway
dominica_points.1,POINT (-61.3015054 15.5465243),26608982,,,,,,,
dominica_points.2,POINT (-61.3798587 15.2923131),229197779,,,,,,,
dominica_points.3,POINT (-61.3862182 15.2956921),231424685,Fort Young Hotel,,,,,,
dominica_points.4,POINT (-61.2937303 15.5492818),231486470,,,,,,,
dominica_points.5,POINT (-61.3850338 15.2969974),231556849,St. Mary's Academy,,,,,,
dominica_points.6,POINT (-61.3845528 15.2983529),234017823,St. Martin's School,,,,,Independence Street,
dominica_points.7,POINT (-61.3875049 15.2984622),238927834,Roseau,town,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,"Dominica, North America",,,
dominica_points.8,POINT (-61.3778624 15.2912783),238943614,Newtown,suburb,,"Roseau, Dominica",,,
dominica_points.9,POINT (-61.376678 15.2604939),240266371,Pointe Michel,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.10,POINT (-61.373425 15.275216),240267620,Loubiere,village,,Dominica,,,
dominica_points.11,POINT (-61.3854155 15.305083),240269571,Goodwill,suburb,,"Roseau, Dominica",,,
dominica_points.12,POINT (-61.3898959 15.3020244),240270646,Potters Ville,suburb,,"Roseau, Dominica",,,
dominica_points.13,POINT (-61.3849864 15.3101374),240271426,Stockfarm,suburb,,"Roseau, Dominica",,,
dominica_points.14,POINT (-61.3875441 15.3171657),240272213,Fond Col�,suburb,,"Roseau, Dominica",,,
dominica_points.15,POINT (-61.3797996 15.3084424),240273652,Yampiece,suburb,,"Roseau, Dominica",,,
dominica_points.16,POINT (-61.3470927 15.2659927),242414018,Bellevue Chopin,village,,Dominica,,,
dominica_points.17,POINT (-61.3260009 15.2642236),242414039,Pichelin,village,,Dominica,,,
dominica_points.18,POINT (-61.3918693 15.3397645),242414050,Canefield Airport,,,,,,
dominica_points.19,POINT (-61.3909747 15.3237503),242414051,Morne Daniel,suburb,,"Roseau, Dominica",,,
dominica_points.20,POINT (-61.3886297 15.3380393),242414054,Canefield,suburb,,"Roseau, Dominica",,,
dominica_points.21,POINT (-61.3917472 15.3475066),242414055,Massacre,village,,Dominica,,,
dominica_points.22,POINT (-61.3974541 15.3633066),242414057,Mahaut,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.23,POINT (-61.3676566 15.212357),242414058,Scotts Head,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.24,POINT (-61.3576058 15.2236703),242414059,Galion,village,,Dominica,,,
dominica_points.25,POINT (-61.3603695 15.2331529),242414184,Soufriere,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.26,POINT (-61.3153342 15.239927),242414515,Grand Bay,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.27,POINT (-61.3334616 15.2352729),242414521,Tete Morne,village,,Dominica,,,
dominica_points.28,POINT (-61.2815015 15.2444373),245509269,Fond St. Jean,village,,Dominica,,,
dominica_points.29,POINT (-61.4363057 15.4365938),245509376,Salisbury,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.30,POINT (-61.4046943 15.6143053),245509606,Vieille Case,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.31,POINT (-61.2793643 15.5364632),245509766,Marigot,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.32,POINT (-61.3107321 15.5637551),245916285,Wesley,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.33,POINT (-61.4561722 15.5656981),245916311,Glanvillia,suburb,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,"Portsmouth, Dominica",,,
dominica_points.34,POINT (-61.3303995 15.5819289),245923070,Woodford Hill,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.35,POINT (-61.3493294 15.5925836),245923104,Calibishie,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.36,POINT (-61.397605 15.5998689),245923187,Thibaud,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.37,POINT (-61.4237833 15.4064154),245923286,St. Joseph,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.38,POINT (-61.4251937 15.3972216),245923388,Layou,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.39,POINT (-61.4035622 15.3717633),245923409,Jimmit,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.40,POINT (-61.3452484 15.3115664),245923661,Morne Prosper,village,,Dominica,,,
dominica_points.41,POINT (-61.3467932 15.323694),245923882,Trafalgar,village,,Dominica,,,
dominica_points.42,POINT (-61.3579817 15.3132893),245923884,Copt Hall,hamlet,,Dominica,,,
dominica_points.43,POINT (-61.3774777 15.2969132),245923911,Kings Hill,suburb,,"Roseau, Dominica",,,
dominica_points.44,POINT (-61.3704916 15.2840561),245923982,Castle Comfort,suburb,,Dominica,,,
dominica_points.45,POINT (-61.3733577 15.214469),245924321,Scotts Head,,,,,,
dominica_points.46,POINT (-61.2847355 15.2477819),245925854,Bagatelle,village,,Dominica,,,
dominica_points.47,POINT (-61.2641361 15.2876922),245925891,Delices,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.48,POINT (-61.2463692 15.3287537),245925926,La Plaine,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.49,POINT (-61.2571838 15.4421277),245926011,Castle Bruce,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.50,POINT (-61.3037615 15.2466506),246183994,Dubuc,village,,Dominica,,,
dominica_points.51,POINT (-61.2941914 15.2465429),246184557,Stowe,village,,Dominica,,,
dominica_points.52,POINT (-61.2681718 15.2544166),246573529,Petite Savanne,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.53,POINT (-61.2510772 15.3083235),246573560,Boetica,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.54,POINT (-61.2740309 15.361975),246573563,Grand Fond,village,,Dominica,,,
dominica_points.55,POINT (-61.2540098 15.3739552),246573565,Rosalie,village,,Dominica,,,
dominica_points.56,POINT (-61.2562414 15.3910029),246573670,Petite Soufriere,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.57,POINT (-61.2541814 15.412352),246573732,Good Hope,village,,Dominica,,,
dominica_points.58,POINT (-61.2658544 15.5154255),246573733,Atkinson,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.59,POINT (-61.4624925 15.4854849),246579112,Colihaut,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.60,POINT (-61.45112 15.4602139),246579126,Coulibistrie,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.61,POINT (-61.4473863 15.4566567),246579127,Morne Raquette,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.62,POINT (-61.466827 15.5091813),246579132,Bioche,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.63,POINT (-61.4691444 15.5148466),246579136,Dublanc,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.64,POINT (-61.4612909 15.6308877),246579154,Capuchin,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.65,POINT (-61.4605613 15.5978224),246579156,Tanetane,village,,Dominica,,,
dominica_points.66,POINT (-61.4637371 15.6098092),246579157,Toucari,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.67,POINT (-61.4635536 15.6157465),246579159,Cottage,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.68,POINT (-61.4635225 15.6238204),246579160,Clifton,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.69,POINT (-61.4193565 15.6297653),246579188,Penville,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.70,POINT (-61.411037 15.5925728),246579189,Paix Bouche,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.71,POINT (-61.413097 15.5857936),246579190,Dos D'Ane,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.72,POINT (-61.4070459 15.5887285),246579192,La Source,village,,Dominica,,,
dominica_points.73,POINT (-61.4212509 15.5795102),246579245,Borne,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.74,POINT (-61.3824983 15.5933169),246579247,Anse Du M�,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.75,POINT (-61.3753744 15.5887285),246579248,Bense,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.76,POINT (-61.3642164 15.5941022),246579266,Hampstead,locality,,Dominica,,,
dominica_points.77,POINT (-61.2775642 15.4921215),246723067,Concord,hamlet,,Dominica,,,
dominica_points.78,POINT (-61.3393098 15.4232766),246770630,Belles,village,,Domnica,,,
dominica_points.79,POINT (-61.3303921 15.2119752),246776487,Pointe des Fous,locality,,,,,
dominica_points.80,POINT (-61.3602648 15.3106651),248763288,Roseau Valley Hotel,,,Dominica,,,
dominica_points.81,POINT (-61.3661528 15.3080491),248763322,Louisville,suburb,,"Roseau, Dominica",,,
dominica_points.82,POINT (-61.3742053 15.2762703),281437273,Spider's,,,,,,
dominica_points.83,POINT (-61.4379644 15.4359777),281446777,,,,,crossing,,
dominica_points.84,POINT (-61.4465434 15.4513064),281446817,Sunset Bay Resort,,,,,,
dominica_points.85,POINT (-61.4713604 15.583083),281450908,,,,,,,
dominica_points.86,POINT (-61.473396 15.5831544),281452143,Fort Shirley,,,,,,
dominica_points.87,POINT (-61.4635337 15.6067707),293071425,Morne a Louis,village,,,,,
dominica_points.88,POINT (-61.457613 15.5562821),411240903,Picard,suburb,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,"Portsmouth, Dominica",,,
dominica_points.89,POINT (-61.4580457 15.5564913),411241450,,,KG Ground Survey 2015,,,,
dominica_points.90,POINT (-61.4559045 15.5603219),411241855,KFC,,,,,,
dominica_points.91,POINT (-61.4560263 15.5601513),411241866,Rituals,,,,,,
dominica_points.92,POINT (-61.4601708 15.5579193),411242261,Subway,,,,,,
dominica_points.93,POINT (-61.4600764 15.557878),411242285,,,,,,,
dominica_points.94,POINT (-61.3653618 15.4113138),424297496,Dominica,country,,,,,
dominica_points.95,POINT (-61.3923396 15.3200174),452813231,Marpin TV Studios,,,,,,
dominica_points.96,POINT (-61.3910744 15.325811),452813614,,,,,,,
dominica_points.97,POINT (-61.2576193 15.3606492),452814235,,,,,,,
dominica_points.98,POINT (-61.3829654 15.301685),482598884,,,,,,,
dominica_points.99,POINT (-61.3809322 15.302758),482599236,,,,,,,
dominica_points.100,POINT (-61.3820901 15.3021728),482599252,,,,,,,
dominica_points.101,POINT (-61.3793691 15.30325),482599268,,,,,turning_circle,,
dominica_points.102,POINT (-61.1383333 15.7016667),486756050,,,"D�cret n� 89-302 du 8 mai 1989 portant d�limitation maritime entre la France et la Dominique, sign� � Paris le 7 septembre 1987",,,,
dominica_points.103,POINT (-61.0611111 15.6838889),486756053,,,"D�cret n�89-302 du 8 mai 1989 portant d�limitation maritime entre la France et la Dominique, sign� � Paris le 7 septembre 1987",,,,
dominica_points.104,POINT (-60.8994444 15.665),486756055,,,"D�cret n�89-302 du 8 mai 1989 portant d�limitation maritime entre la France et la Dominique, sign� � Paris le 7 septembre 1987",,,,
dominica_points.105,POINT (-60.8994444 15.1644444),486756115,,,"D�cret n�89-302 du 8 mai 1989 portant d�limitation maritime entre la France et la Dominique, sign� � Paris le 7 septembre 1987",,,,
dominica_points.106,POINT (-61 15.125),486756120,,,"D�cret n�89-302 du 8 mai 1989 portant d�limitation maritime entre la France et la Dominique, sign� � Paris le 7 septembre 1987",,,,
dominica_points.107,POINT (-61.4344527 15.4299464),713457494,,,,,bus_stop,,
dominica_points.108,POINT (-61.4311883 15.4249106),713459354,,,,,,,
dominica_points.109,POINT (-61.374331 15.2905591),993856270,Fortune,,,,,,
dominica_points.110,POINT (-61.4561334 15.5735438),993904504,,,,,,,
dominica_points.111,POINT (-61.4561018 15.5734355),993904682,,,,,bus_stop,,
dominica_points.112,POINT (-61.3521025 15.5923569),993913898,,,KG Ground Survey 2015,,,,
dominica_points.113,POINT (-61.3493071 15.592781),993914058,,,,,,,
dominica_points.114,POINT (-61.3477782 15.5933235),993914219,,,,,,,
dominica_points.115,POINT (-61.3504712 15.5930548),993915068,,,,,,,
dominica_points.116,POINT (-61.3449941 15.5936387),993915191,,,,,,,
dominica_points.117,POINT (-61.3447527 15.5937162),993915261,,,,,,,
dominica_points.118,POINT (-61.344919 15.5938247),993915418,,,,,,,
dominica_points.119,POINT (-61.3479767 15.5932977),993915752,,,,,,,
dominica_points.120,POINT (-61.3535825 15.5927965),993920954,,,,,,,
dominica_points.121,POINT (-61.347848 15.593153),993920955,,,,,,,
dominica_points.122,POINT (-61.3901746 15.297985),1402576582,Roseau,,,,,,
dominica_points.123,POINT (-61.2717245 15.2907249),1418090286,Victoria Falls,,,,,,waterfall
dominica_points.124,POINT (-61.400939 15.4055741),1418092918,,,,,,,
dominica_points.125,POINT (-61.3815169 15.3007377),1418108589,,,,,,,
dominica_points.126,POINT (-61.4218572 15.6288121),1463222274,,,Bing,,,,
dominica_points.127,POINT (-61.2890886 15.5386984),1463325395,Marigot Methodist Church,,,,,,
dominica_points.128,POINT (-61.2833614 15.5405995),1463450026,Marigot Library,,,,,,
dominica_points.129,POINT (-61.2613136 15.5143325),1463450816,,,,,,,
dominica_points.130,POINT (-61.3982176 15.5039552),1469069341,Morne Diablotin,,,Dominica,,,
dominica_points.131,POINT (-61.4359575 15.612629),1469070730,Morne aux Diables,,,Dominica,,,
dominica_points.132,POINT (-61.4691175 15.5260656),1469093839,Morne Espagnole,,,,,,
dominica_points.133,POINT (-61.2605435 15.4353223),1469138714,Castle Bruce Secondary School,,KG Ground Survey 2016,,,,
dominica_points.134,POINT (-61.2491649 15.4677192),1471114533,Sineku,village,,Dominica,,,
dominica_points.135,POINT (-61.2570255 15.4927724),1471115457,Salybia,village,,Dominica,,,
dominica_points.136,POINT (-61.2650936 15.5061723),1471138024,Bataka,village,,Dominica,,,
dominica_points.137,POINT (-61.3322623 15.2856526),1471322234,Morne Anglais,,,,,,
dominica_points.138,POINT (-61.3202073 15.3401547),1471322257,Morne Micotrin  (Morne Macaque),,,,,,
dominica_points.139,POINT (-61.4287183 15.418949),1475021424,Mero,village,,Dominica,,,
dominica_points.140,POINT (-61.425958 15.401907),1477351240,St. Joseph High School,,,,,,
dominica_points.141,POINT (-61.2634419 15.3532124),1479554529,Morne Jaune,village,,Dominica,,,
dominica_points.142,POINT (-61.2430142 15.3284117),1479554542,Jones Beaupierre School,,,,,,
dominica_points.143,POINT (-61.37327 15.3020824),1479897755,Elmshall,suburb,,"Roseau, Dominica",,,
dominica_points.144,POINT (-61.3782589 15.3025999),1479897817,Bath Estate,suburb,,"Roseau, Dominica",,,
dominica_points.145,POINT (-61.4360848 15.4321564),1511752907,,,,,,,
dominica_points.146,POINT (-61.4302805 15.430088),1511753034,Dominica Hunter,,,,,,
dominica_points.147,POINT (-61.4359131 15.4317634),1511753040,Gospel,,,,,,
dominica_points.148,POINT (-61.383201 15.3018196),1557073905,Dominica Grammar School,,,,,,
dominica_points.149,POINT (-61.3852373 15.30832),1557772026,Tarish Pit,suburb,,"Roseau, Dominica",,,
dominica_points.150,POINT (-61.3844353 15.3114632),1557772142,Stock Farm Prison,,,,,,
dominica_points.151,POINT (-61.3748196 15.3093858),1557772183,Belle Vue Rawle,hamlet,,"Roseau, Dominica",,,
dominica_points.152,POINT (-61.3749805 15.3061469),1557789651,St. Aromant,suburb,,"Roseau, Dominica",,,
dominica_points.153,POINT (-61.3845072 15.3094697),1557789681,,,,,,,
dominica_points.154,POINT (-61.386728 15.3082434),1557789687,,,,,bus_stop,,
dominica_points.155,POINT (-61.3863869 15.3047995),1557789692,,,,,,,
dominica_points.156,POINT (-61.3487627 15.2905511),1557855026,Giraudel,village,,Dominica,,,
dominica_points.157,POINT (-61.3568522 15.2974227),1557855685,Eggleston,village,,Dominica,,,
dominica_points.158,POINT (-61.3330422 15.335229),1562363352,Laudat,village,,Dominica,,,
dominica_points.159,POINT (-61.3597662 15.338026),1562363356,Cochrane,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.160,POINT (-61.3393599 15.3356099),1562363425,,,,,,,
dominica_points.161,POINT (-61.3393079 15.317618),1562363443,Wotton Waven,hamlet,,Dominica,,,
dominica_points.162,POINT (-61.4769996 15.537339),1562386716,Pointe Ronde,locality,,Dominica,,,
dominica_points.163,POINT (-61.3892661 15.2981129),1562470607,General Post Office,,,,,,
