FID,the_geom,LAYER,ROAD_TYPE
roadsnew_lines.1,"MULTILINESTRING ((-61.28668744205017 15.540892597674228, -61.286778960112 15.540853499015672, -61.286869573438324 15.540870460618162, -61.287000715642854 15.540877217370484, -61.287157129138734 15.540798375957774, -61.2873604641682 15.54071532576051, -61.28760400156265 15.540671879804714, -61.28772311467822 15.540594220189872, -61.2878583393507 15.540453213471404, -61.28795617919807 15.540308893935432, -61.28811267660853 15.540234546786266, -61.288244084433124 15.540178139663636, -61.28836244829006 15.54019114831761, -61.28842160995267 15.540264997158987, -61.288541774690295 15.540406510644154, -61.288679947227955 15.54051756118307, -61.28906834464459 15.540709477716693))",Unknown Line Type,Secondary_road
roadsnew_lines.2,"MULTILINESTRING ((-61.28795617919807 15.540308893935432, -61.28794778262048 15.540167274768203, -61.288000269262575 15.540040737984912, -61.28816447897971 15.539976273716679, -61.28828620976806 15.539959083709222, -61.288391929512784 15.539898698985395, -61.288439851924664 15.539758525465393, -61.28849011235569 15.539618370072116, -61.28850924757993 15.539566380741883, -61.28871208149679 15.53963822750869, -61.28887795697243 15.539698087504405))",Unknown Line Type,Secondary_road
roadsnew_lines.3,"MULTILINESTRING ((-61.28797263514385 15.54010735938811, -61.28792540318598 15.540031744592476, -61.28787895259158 15.539945314067014, -61.28781634055289 15.539867365049155, -61.2877585257905 15.539771544172767, -61.287724297018485 15.539669269646025, -61.287699608535796 15.539473561153388, -61.28770261200271 15.539322271466194, -61.2877079460764 15.539177800456464, -61.28769317512882 15.539055275247991, -61.28765354534238 15.538969960246007, -61.28752742921947 15.53895197955091, -61.28739240485184 15.538950931069177, -61.287030721314636 15.539002526804454, -61.28688335175676 15.539009882849008, -61.28680496129386 15.538946368531697, -61.2867531272291 15.53885245787158, -61.286645741333906 15.53869010982512))",Unknown Line Type,Secondary_road
roadsnew_lines.4,"MULTILINESTRING ((-61.28850924757993 15.539566380741883, -61.28839252847928 15.539509455161664, -61.28832635614583 15.539452836740244, -61.2882883672836 15.53938113573252, -61.28829062625307 15.539319947987988, -61.28829473705754 15.539246873589668, -61.28833059454189 15.539151943681135, -61.28834344507166 15.539082337403528, -61.2883234972819 15.538949571143705, -61.28825373504896 15.53869060740284, -61.28820930767436 15.538549150407986, -61.288166479480516 15.538426407433525, -61.28812311783531 15.53836826588505))",Unknown Line Type,Secondary_road
roadsnew_lines.5,"MULTILINESTRING ((-61.28668744205017 15.540892597674228, -61.286722749965726 15.540744899834301, -61.28671791408528 15.540575603361525, -61.28677587720118 15.540352390124728, -61.28686760767007 15.540192911270918, -61.28691579345001 15.54002100418587, -61.28692582026778 15.539939475092229))",Unknown Line Type,Tertiary_road
roadsnew_lines.6,"MULTILINESTRING ((-61.28655095990923 15.54091234928804, -61.28652271400412 15.540813346719213, -61.286488026269176 15.540713618701256, -61.2864500887483 15.540529708249204, -61.28642367166057 15.540384140576657))",Unknown Line Type,Tertiary_road
roadsnew_lines.7,"MULTILINESTRING ((-61.28631861690197 15.540948003604992, -61.2863874953745 15.541061996914014, -61.286493240945596 15.541210731244528))",Unknown Line Type,Tertiary_road
roadsnew_lines.8,"MULTILINESTRING ((-61.28902573375969 15.540776478500803, -61.2891577511327 15.54084508419489, -61.2893021267992 15.540921754543383, -61.28946107744396 15.54102531518421, -61.28957105596091 15.541086417229456, -61.289609154280456 15.541131660382039, -61.28966317692056 15.541159813048742, -61.28972224200984 15.54117461615104, -61.289754840261715 15.541169130978508))",Unknown Line Type,Tertiary_road
roadsnew_lines.9,"MULTILINESTRING ((-61.286645741333906 15.53869010982512, -61.28644265006611 15.538848575736084, -61.28634940083359 15.538911925419482, -61.28627674691119 15.538989780069123, -61.28631172685901 15.539054126098293, -61.28634199629066 15.53909165823558, -61.28637344184749 15.539106247548514, -61.28638395208205 15.539147451475547, -61.28635313713999 15.539175901987564, -61.28621381249489 15.539204465634997, -61.286096929443076 15.539262849872637, -61.28598502567689 15.539315534751974, -61.2858819992827 15.539368288568257, -61.28585912273675 15.53939106271361, -61.28584591228702 15.539437820272704, -61.28587027129824 15.539474350199654, -61.285910633839116 15.539484227231213, -61.28597298144489 15.53945984719497, -61.28604411948503 15.539446055103458, -61.28607957384874 15.539453024964503, -61.28608903439525 15.539501871394856, -61.28607584770785 15.539545760161685, -61.286042561733346 15.539634440298716, -61.286051138688876 15.539670847553591, -61.28604499537667 15.539737778431157, -61.28607507506613 15.539798261088585, -61.28610435025557 15.5398367418668, -61.28615547611555 15.539857222156213, -61.28624932481607 15.5398407375094, -61.28626938454647 15.539800727467714, -61.286320834573786 15.539782000643788, -61.28635303733467 15.539824329468635, -61.28635692752369 15.539831054018642))",Unknown Line Type,Tertiary_road
roadsnew_lines.10,"MULTILINESTRING ((-61.28359267204512 15.540409492561997, -61.28352361635921 15.540453056509191, -61.28349331285335 15.540512325631733, -61.28342023364818 15.540654568770384, -61.2833422033888 15.540759370194115, -61.28329077238937 15.540828675662445, -61.2832310240953 15.540843511803084, -61.283175332154244 15.540792073950529, -61.283111238519695 15.540696366970083, -61.28301723561562 15.540612328100066, -61.28300170696001 15.54058160463008, -61.28295093785011 15.540571008477277, -61.28271037442349 15.540608238512641, -61.282511967126865 15.540637295897433, -61.28229926351235 15.540698544434811, -61.28212191308059 15.54072606533095, -61.281957246303634 15.540704380792167, -61.28184348955353 15.54067629223339, -61.28176700885503 15.540594089540862, -61.28173945908266 15.540532669788714, -61.28170643720269 15.54049670951718))",Unknown Line Type,Tertiary_road
