,Dataset,Description
AWND,GHCND,Average wind speed
DAWM,GHCND,Number of days included in the multiday wind movement (MDWM)
DLY-PRCP-25PCTL,NORMAL_DLY,25th percentiles of daily nonzero precipitation totals for 29-day windows centered on each day of the year
DLY-PRCP-50PCTL,NORMAL_DLY,50th percentiles of daily nonzero precipitation totals for 29-day windows centered on each day of the year
DLY-PRCP-75PCTL,NORMAL_DLY,75th percentiles of daily nonzero precipitation totals for 29-day windows centered on each day of the year
DLY-PRCP-PCTALL-GE001HI,NORMAL_DLY,Probability of precipitation >= 0.01 inches for 29-day windows centered on each day of the year
DLY-PRCP-PCTALL-GE010HI,NORMAL_DLY,Probability of precipitation >= 0.10 inches for 29-day windows centered on each day of the year
DLY-PRCP-PCTALL-GE050HI,NORMAL_DLY,Probability of precipitation >= 0.50 inches for 29-day windows centered on each day of the year
DLY-PRCP-PCTALL-GE100HI,NORMAL_DLY,Probability of precipitation >= 1.00 inches for 29-day windows centered on each day of the year
DLY-SNOW-25PCTL,NORMAL_DLY,25th percentiles of daily nonzero snowfall totals for 29-day windows centered on each day of the year
DLY-SNOW-50PCTL,NORMAL_DLY,50th percentiles of daily nonzero snowfall totals for 29-day windows centered on each day of the year
DLY-SNOW-75PCTL,NORMAL_DLY,75th percentiles of daily nonzero snowfall totals for 29-day windows centered on each day of the year
DLY-SNOW-PCTALL-GE001TI,NORMAL_DLY,Probability of snowfall >= 0.1 inches for 29-day windows centered on each day of the year
DLY-SNOW-PCTALL-GE010TI,NORMAL_DLY,Probability of snowfall >= 1.0 inches for 29-day windows centered on each day of the year
DLY-SNOW-PCTALL-GE030TI,NORMAL_DLY,Probability of snowfall >= 3.0 inches for 29-day windows centered on each day of the year
DLY-SNOW-PCTALL-GE050TI,NORMAL_DLY,Probability of snowfall >= 5.0 inches for 29-day windows centered on each day of the year
DLY-SNOW-PCTALL-GE100TI,NORMAL_DLY,Probability of snowfall >= 10 inches for 29-day windows centered on each day of the year
DLY-SNWD-25PCTL,NORMAL_DLY,25th percentiles of daily nonzero snow depth for 29-day windows centered on each day of the year
DLY-SNWD-50PCTL,NORMAL_DLY,50th percentiles of daily nonzero snow depth for 29-day windows centered on each day of the year
DLY-SNWD-75PCTL,NORMAL_DLY,75th percentiles of daily nonzero snow depth for 29-day windows centered on each day of the year
DLY-SNWD-PCTALL-GE001WI,NORMAL_DLY,Probability of snow depth >= 1 inch for 29-day windows centered on each day of the year
DLY-SNWD-PCTALL-GE003WI,NORMAL_DLY,Probability of snow depth >= 3 inches for 29-day windows centered on each day of the year
DLY-SNWD-PCTALL-GE005WI,NORMAL_DLY,Probability of snow depth >= 5 inches for 29-day windows centered on each day of the year
DLY-SNWD-PCTALL-GE010WI,NORMAL_DLY,Probability of snow depth >= 10 inches for 29-day windows centered on each day of the year
FMTM,GHCND,Time of fastest mile or fastest 1-minute wind
HLY-WCHL-NORMAL,NORMAL_HLY,Wind chill mean
HLY-WIND-1STDIR,NORMAL_HLY,Prevailing wind direction (1-8)
HLY-WIND-1STPCT,NORMAL_HLY,Prevailing wind percentage
HLY-WIND-2NDDIR,NORMAL_HLY,Secondary wind direction (1-8)
HLY-WIND-2NDPCT,NORMAL_HLY,Secondary wind percentage
HLY-WIND-AVGSPD,NORMAL_HLY,Average wind speed
HLY-WIND-VCTDIR,NORMAL_HLY,Mean wind vector direction
HLY-WIND-VCTSPD,NORMAL_HLY,Mean wind vector magnitude
MDWM,GHCND,Multiday wind movement
WDF1,GHCND,Direction of fastest 1-minute wind
WDF2,GHCND,Direction of fastest 2-minute wind
WDF5,GHCND,Direction of fastest 5-second wind
WDFG,GHCND,Direction of peak wind gust
WDFI,GHCND,Direction of highest instantaneous wind
WDFM,GHCND,Fastest mile wind direction
WDMV,GHCND,Total wind movement
WSF1,GHCND,Fastest 1-minute wind speed
WSF2,GHCND,Fastest 2-minute wind speed
WSF5,GHCND,Fastest 5-second wind speed
WSFG,GHCND,Peak gust wind speed
WSFI,GHCND,Highest instantaneous wind speed
WSFM,GHCND,Fastest mile wind speed
WT11,GHCND,High or damaging winds
